Sigla,Nome do evento,Link da SOL,número de edições,Ano da primeira edição ou idade do evento,CE associada,ultima edição,H5,H5 Link
WPCI,Workshop de Pensamento Computacional e Inclusão (WPCI),https://sol.sbc.org.br/index.php/wpci/issue/archive,2,,,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Pensamento+Computacional+e+Inclus%C3%A3o&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro (WPEIF),https://sol.sbc.org.br/index.php/wpeif/issue/archive,14,,CE-RESD,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Pesquisa+Experimental+da+Internet+do+Futuro&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WPerformance,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,https://sol.sbc.org.br/index.php/wperformance,23,,CSBC,2024,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+em+Desempenho+de+Sistemas+Computacionais+e+de+Comunica%C3%A7%C3%A3o&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WRE,Workshop de Robótica na Educação,https://sol.sbc.org.br/index.php/sbrlars,13,,,2022,---,---
WPIETF,Workshop Pré-IETF (WPIETF),https://sol.sbc.org.br/index.php/wpietf/issue/archive,8,,CSBC,2021,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Pr%C3%A9-IETF&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WQuantum,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/issue/archive,2,,CE-RESD,2022,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Comunica%C3%A7%C3%A3o+e+Computa%C3%A7%C3%A3o+Qu%C3%A2ntica&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WRAC,"Workshop de Regulação, Avaliação da Conformidade e Certificação de Segurança",https://sol.sbc.org.br/index.php/wrac/issue/archive,5,,,2019,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Regula%C3%A7%C3%A3o%2C+Avalia%C3%A7%C3%A3o+da+Conformidade+e+Certifica%C3%A7%C3%A3o+de+Seguran%C3%A7a&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WSCDC,Workshop de Segurança Cibernética em Dispositivos Conectados (WSCDC),https://sol.sbc.org.br/index.php/wscdc/issue/archive,2,,,2019,---,---
WSENSING,"Workshop on Security, Privacy and Reliability on Wireless Sensing Networks (WSENSING)",https://sol.sbc.org.br/index.php/wsensing/issue/archive,3,,,2023,---,---
WSlice,"Workshop de Teoria, Tecnologias e Aplicações de Slicing para Infraestruturas Softwarizadas (WSlice)",https://sol.sbc.org.br/index.php/wslice/issue/archive,1,,CE-RESD,2019,---,---
WTE,Workshop de Tecnologia Eleitoral,https://sol.sbc.org.br/index.php/wte/issue/archive,4,,,2019,---,---
WTESTBEDS,Workshop de Testbeds,https://sol.sbc.org.br/index.php/wtestbeds/issue/archive,2,,,2023,---,---
WTF,Workshop de Testes e Tolerância a Falhas (WTF),https://sol.sbc.org.br/index.php/wtf/issue/archive,25,,CE-RESD,2024,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Testes+e+Toler%C3%A2ncia+a+Falhas&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WTranS,Workshop de Transparência em Sistemas (WTranS),https://sol.sbc.org.br/index.php/wtrans/issue/archive,7,,CSBC,2019,---,---
