Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Origem Ano,Anais,Anais Link,GS Link,DBLP Link
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,,,,,,Qualis 2017-2020,2021,,,,
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,,,,,Qualis 2017-2020,2021,,,,
ASE,IEEE/ACM International Conference on Automated Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",,,,,,Qualis 2017-2020,2021,,,,
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,,,,,,Qualis 2017-2020,2021,,,,
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,,,,,Qualis 2017-2020,2021,,,,
ASMS,Advanced Satellite Multimedia Systems Conference,,,,,,Qualis 2017-2020,2021,,,,
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,,,,Qualis 2017-2020,2021,,,,
ASP-DAC,Asia and South Pacific Design Automation Conference,,,,,,Qualis 2017-2020,2021,,,,
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,,,,,,Qualis 2017-2020,2021,,,,
ASPRS,Annual Conference and International Lidar Mapping Forum,,,,,,Qualis 2017-2020,2021,,,,
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,,,,,,Qualis 2017-2020,2021,,,,
AST,IEEE/ACM International Workshop on Automation of Software Testing,,,,,,Qualis 2017-2020,2021,,,,
ASWEC,Australasian Software Engineering Conference,,,,,,Qualis 2017-2020,2021,,,,
ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,,,,,,Qualis 2017-2020,2021,,,,
ATC,USENIX Annual Technical Conference,,,,,,Qualis 2017-2020,2021,,,,
Atech,International Conference on Agreement Technologies,,,,,,Qualis 2017-2020,2021,,,,
ATS,Asian Test Symposium,,,,,,Qualis 2017-2020,2021,,,,
ATT,International Workshop on Agents in Traffic and Transportation,,,,,,Qualis 2017-2020,2021,,,,
AUDIOMOSTLY,Audio Mostly Conference,,,,,,Qualis 2017-2020,2021,,,,
AusDM,Australasian Data Mining Conference,,,,,,Qualis 2017-2020,2021,,,,
AVI,International Working Conference on Advanced Visual Interfaces,,,,,,Qualis 2017-2020,2021,,,,
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,,,,,,Qualis 2017-2020,2021,,,,
BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,,Qualis 2017-2020,2021,,,,
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,,,,,Qualis 2017-2020,2021,,,,
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,,Qualis 2017-2020,2021,,,,
BDCLOUD,International Conference on Big Data and Cloud Computing,,,,,,Qualis 2017-2020,2021,,,,
BENCH,"International Symposium on Benchmarking, Measuring and Optimization",,,,,,Qualis 2017-2020,2021,,,,
BESC,"International Conference on Behavior, Economic and Social Computing",,,,,,Qualis 2017-2020,2021,,,,
BIATA,Bioinformatics: from Algorithms to Applications,,,,,,Qualis 2017-2020,2021,,,,
BIBE,IEEE International Conference on BioInformatics and BioEngineering,,,,,,Qualis 2017-2020,2021,,,,
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,,,,,,Qualis 2017-2020,2021,,,,
BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,,,,,,Qualis 2017-2020,2021,,,,
BIGDATA,IEEE International Conference on Big Data,,,,,,Qualis 2017-2020,2021,,,,
BigDataSE,IEEE International Conference On Big Data Science And Engineering,,,,,,Qualis 2017-2020,2021,,,,
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,,,,,,Qualis 2017-2020,2021,,,,
BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,,,,,,Qualis 2017-2020,2021,,,,
BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,,,,,,Qualis 2017-2020,2021,,,,
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,,,Qualis 2017-2020,2021,,,,
BIOSENSORS,World Congress on Biosensors,,,,,,Qualis 2017-2020,2021,,,,
BIS,International Conference on Business Information Systems,,,,,,Qualis 2017-2020,2021,,,,
BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,,,,,,Qualis 2017-2020,2021,,,,
BLOCKCHAIN,IEEE International Conference on Blockchain,,,,,,Qualis 2017-2020,2021,,,,
BMEI,International Conference BioMedical Engineering and Informatics,,,,,,Qualis 2017-2020,2021,,,,
BMVC,British Machine Vision Conference,,,,,,Qualis 2017-2020,2021,,,,
BPM,International Conference on Business Process Management,,,,,,Qualis 2017-2020,2021,,,,
BPMS2,Workshop on Social and Human Aspects of Business Process Management,,,,,,Qualis 2017-2020,2021,,,,
BRACIS,Brazilian Conference on Intelligent Systems,,,,,,Qualis 2017-2020,2021,,,,
BRAHUR,Brazilian Humanoid Robot Workshop,,,,,,Qualis 2017-2020,2021,,,,
BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",,,,,,Qualis 2017-2020,2021,,,,
BRASERO,Brazilian Workshop on Service Robotics,,,,,,Qualis 2017-2020,2021,,,,
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,,,,,,Qualis 2017-2020,2021,,,,
BRESCI,Brazilian e-Science Workshop,,,,,,Qualis 2017-2020,2021,,,,
BSB,Brazilian Symposium on Bioinformatics,,,,,,Qualis 2017-2020,2021,,,,
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,,,,,,Qualis 2017-2020,2021,,,,
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",,,,,,Qualis 2017-2020,2021,,,,
C&T,International Conference on Communities and Technologies,,,,,,Qualis 2017-2020,2021,,,,
C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",,,,,,Qualis 2017-2020,2021,,,,
CAD,International CAD Conference,,,,,,Qualis 2017-2020,2021,,,,
CADE,International Conference on Automated Deduction,,,,,,Qualis 2017-2020,2021,,,,
CAIP,International Conference on Computer Analysis of Images and Patterns,,,,,,Qualis 2017-2020,2021,,,,
CAISE,International Conference on Advanced Information Systems Engineering,,,,,,Qualis 2017-2020,2021,,,,
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,,,,,,Qualis 2017-2020,2021,,,,
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,,,,,,Qualis 2017-2020,2021,,,,
CANDAR,International Symposium on Computing and Networking,,,,,,Qualis 2017-2020,2021,,,,
CANS,International Conference on Cryptology and Network Security,,,,,,Qualis 2017-2020,2021,,,,
CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,,,,,,Qualis 2017-2020,2021,,,,
CARLA,Latin America High Performance Computing Conference,,,,,,Qualis 2017-2020,2021,,,,
CASA,Conference on Computer Animation and Social Agents,,,,,,Qualis 2017-2020,2021,,,,
CASCON,Annual International Conference on Computer Science and Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
CASE,IEEE Conference on Automation Science and Engineering,,,,,,Qualis 2017-2020,2021,,,,
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,,,,,Qualis 2017-2020,2021,,,,
CATA,International Conference on Computers and their Applications,,,,,,Qualis 2017-2020,2021,,,,
CATE,Computers and Advanced Technology in Education,,,,,,Qualis 2017-2020,2021,,,,
CAV,International Conference on Computer Aided Verification,,,,,,Qualis 2017-2020,2021,,,,
CBA,Congresso Brasileiro de Automática,,,,,,Qualis 2017-2020,2021,,,,
CBEB,Congresso Brasileiro de Engenharia Biomédica,,,,,,Qualis 2017-2020,2021,,,,
CBI,IEEE Conference on Business Informatics,,,,,,Qualis 2017-2020,2021,,,,
CBIC,Congresso Brasileiro de Inteligência Computacional,,,,,,Qualis 2017-2020,2021,,,,
CBIS,Congresso Brasileiro de Informática em Saúde,,,,,,Qualis 2017-2020,2021,,,,
CBMI,International Workshop on Content-Based Multimedia Indexing,,,,,,Qualis 2017-2020,2021,,,,
CBMS,International Symposium on Computer-Based Medical Systems,,,,,,Qualis 2017-2020,2021,,,,
CBS,IEEE International Conference on Cyborg and Bionic Systems,,,,,,Qualis 2017-2020,2021,,,,
CBSF,Congresso Brasileiro de Sistemas Fuzzy,,,,,,Qualis 2017-2020,2021,,,,
CBSoft,Brazilian Conference on Software: Theory and Practice,,,,,,Qualis 2017-2020,2021,,,,
CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,,,,,,Qualis 2017-2020,2021,,,,
CC,International Conference on Compiler Construction,,,,,,Qualis 2017-2020,2021,,,,
CCC,IEEE Conference on Computational Complexity,,,,,,Qualis 2017-2020,2021,,,,
CCCG,Canadian Conference on Computational Geometry,,,,,,Qualis 2017-2020,2021,,,,
CCECE,Canadian Conference on Electrical and Computer Engineering,,,,,,Qualis 2017-2020,2021,,,,
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",,,,,,Qualis 2017-2020,2021,,,,
CCNC,Annual IEEE Consumer Communications & Networking Conference,,,,,,Qualis 2017-2020,2021,,,,
CCS,ACM Symposium on Computer and Communications Security,,,,,,Qualis 2017-2020,2021,,,,
CCSI,Workshop on Core Computations on Spatial Information,,,,,,Qualis 2017-2020,2021,,,,
CDC,IEEE Conference on Decision and Control,,,,,,Qualis 2017-2020,2021,,,,
CDH,International Conference on Digital Health,,,,,,Qualis 2017-2020,2021,,,,
CDVE,"International Conference on Cooperative Design, Visualization, and Engineering",,,,,,Qualis 2017-2020,2021,,,,
CEC,IEEE Congress on Evolutionary Computation,,,,,,Qualis 2017-2020,2021,,,,
CECC,Central European Cybersecurity Conference,,,,,,Qualis 2017-2020,2021,,,,
CELDA,Cognition and Exploratory Learning in Digital Age,,,,,,Qualis 2017-2020,2021,,,,
CENTERIS,Conference on ENTERprise Information Systems,,,,,,Qualis 2017-2020,2021,,,,
CESI,International Workshop on Conducting Empirical Studies in Industry,,,,,,Qualis 2017-2020,2021,,,,
CF,ACM International Conference on Computing Frontiers,,,,,,Qualis 2017-2020,2021,,,,
CGI,Computer Graphics International Conference,,,,,,Qualis 2017-2020,2021,,,,
CGO,International Symposium on Code Generation and Optimization,,,,,,Qualis 2017-2020,2021,,,,
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
CHES,Conference on Cryptographic Hardware and Embedded Systems,,,,,,Qualis 2017-2020,2021,,,,
CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,,Qualis 2017-2020,2021,,,,
CHIIR,Conference on Human Information Interaction and Retrieval,,,,,,Qualis 2017-2020,2021,,,,
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,,,,,Qualis 2017-2020,2021,,,,
CIAC,International Conference on Algorithms and Complexity,,,,,,Qualis 2017-2020,2021,,,,
CIARP,Iberoamerican Congress on Pattern Recognition,,,,,,Qualis 2017-2020,2021,,,,
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,,,,,,Qualis 2017-2020,2021,,,,
CIbSE,Conferencia Iberoamericana de Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
CIC,International Conference on Collaboration and Internet Computing,,,,,,Qualis 2017-2020,2021,,,,
CICC,IEEE Custom Integrated Circuits Conference,,,,,,Qualis 2017-2020,2021,,,,
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,,,,,,Qualis 2017-2020,2021,,,,
CIDI,Congresso Internacional de Design da Informação,,,,,,Qualis 2017-2020,2021,,,,
CIDM,Symposium on Computational Intelligence and Data Mining,,,,,,Qualis 2017-2020,2021,,,,
CIDR,Biennial Conference on Innovative Data Systems Research,,,,,,Qualis 2017-2020,2021,,,,
CIG,IEEE Conference on Computational Intelligence and Games,,,,,,Qualis 2017-2020,2021,,,,
CIKM,ACM International Conference on Information and Knowledge Management,,,,,,Qualis 2017-2020,2021,,,,
CILAMCE,Iberian Latin American Congress on Computational Methods,,,,,,Qualis 2017-2020,2021,,,,
CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",,,,,,Qualis 2017-2020,2021,,,,
CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems",,,,,,Qualis 2017-2020,2021,,,,
CISTI,Iberian Conference on Information Systems and Technologies,,,,,,Qualis 2017-2020,2021,,,,
CIT,IEEE International Conference on Computer and Information Technology,,,,,,Qualis 2017-2020,2021,,,,
CITS,"International Conference on Computer, Information, and Telecommunication Systems",,,,,,Qualis 2017-2020,2021,,,,
CL,Corpus Linguistics Conference,,,,,,Qualis 2017-2020,2021,,,,
CLAIO,Latin-Ibero-American Conference on Operations Research,,,,,,Qualis 2017-2020,2021,,,,
CLEF,Conference and Labs of the Evaluation Forum,,,,,,Qualis 2017-2020,2021,,,,
CLEI,Conferencia Latinoamericana de Informática,,,,,,Qualis 2017-2020,2021,,,,
CLIHC,Latin American Conference on Human Computer Interaction,,,,,,Qualis 2017-2020,2021,,,,
CLOSER,International Conference on Cloud Computing and Services Science,,,,,,Qualis 2017-2020,2021,,,,
CLOUD,IEEE International Conference on Cloud Computing,,,,,,Qualis 2017-2020,2021,,,,
CloudCom,IEEE International Conference on Cloud Computing Technology and Science,,,,,,Qualis 2017-2020,2021,,,,
CLOUDCOMPUTING-IARIA,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",,,,,,Qualis 2017-2020,2021,,,,
CLOUDDB,IEEE International workshop on Cloud data management,,,,,,Qualis 2017-2020,2021,,,,
CloudNet,IEEE International Conference on Cloud Networking,,,,,,Qualis 2017-2020,2021,,,,
CLOUDTECH,International Conference on Cloud Computing Technologies and Applications,,,,,,Qualis 2017-2020,2021,,,,
CLUSTER,IEEE International Conference on Cluster Computing,,,,,,Qualis 2017-2020,2021,,,,
CMMR,International Symposium on Computer Music Multidisciplinary Research,,,,,,Qualis 2017-2020,2021,,,,
CMN,Congress on Numerical Methods in Engineering,,,,,,Qualis 2017-2020,2021,,,,
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,,,SBMAC,CE-ACO Relevante 2024,,Qualis 2017-2020,2021,,,,
CNS,IEEE Conference on Communications and Network Security,,,,,,Qualis 2017-2020,2021,,,,
CNSM,International Conference on Network and Service Management,,,,,,Qualis 2017-2020,2021,,,,
CoARCH,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,,,,,,Qualis 2017-2020,2021,,,,
COCOA,International Conference on Combinatorial Optimization and Applications,,,,,,Qualis 2017-2020,2021,,,,
COCOON,International Computing and Combinatorics Conference,,,,,,Qualis 2017-2020,2021,,,,
CODASPY,ACM Conference on Data and Application Security and Privacy,,,,,,Qualis 2017-2020,2021,,,,
CODES+ISS,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,,,,,,Qualis 2017-2020,2021,,,,
COG,IEEE Conference on Games,,,,,,Qualis 2017-2020,2021,,,,
COGNISE,International Workshop on Cognitive Aspects of Information Systems Engineering,,,,,,Qualis 2017-2020,2021,,,,
COGSCI,Annual Meeting of the Cognitive Science Society,,,,,,Qualis 2017-2020,2021,,,,
CogSIMA,IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support,,,,,,Qualis 2017-2020,2021,,,,
ColCACI,IEEE Colombian Conference on Applications in Computational Intelligence,,,,,,Qualis 2017-2020,2021,,,,
COLING,International Conference on Computational Linguistics,,,,,,Qualis 2017-2020,2021,,,,
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",,,,,,Qualis 2017-2020,2021,,,,
CollabTech,International Conference on Collaboration Technologies and Social Computing,,,,,,Qualis 2017-2020,2021,,,,
COLT,Conference on Learning Theory,,,,,,Qualis 2017-2020,2021,,,,
CoMeSySo,Computational Methods in Systems and Software,,,,,,Qualis 2017-2020,2021,,,,
COMMA,International Conference on Computational Models of Argument,,,,,,Qualis 2017-2020,2021,,,,
COMPSAC,IEEE Computer Software and Applications Conference,,,,,,Qualis 2017-2020,2021,,,,
COMSNETS,International Conference on Communication Systems & NetworkS,,,,,,Qualis 2017-2020,2021,,,,
COMSOC,International Workshop on Computational Social Choice,,,,,,Qualis 2017-2020,2021,,,,
CONCUR,International Conference on Concurrency Theory,,,,,,Qualis 2017-2020,2021,,,,
CONEXT,Conference on Emerging Network Experiment and Technology,,,,,,Qualis 2017-2020,2021,,,,
CONFIRM,International Conference on Information Resources Management,,,,,,Qualis 2017-2020,2021,,,,
CONISOFT,International Conference in Software Engineering Research and Innovation,,,,,,Qualis 2017-2020,2021,,,,
CoNLL,Conference on Natural Language Learning,,,,,,Qualis 2017-2020,2021,,,,
CONTECSI,International Conference on Information Systems and Technology Management,,,,,,Qualis 2017-2020,2021,,,,
CONTEXT-BPM,International Workshop on Context for Business Process Management,,,,,,Qualis 2017-2020,2021,,,,
CONTROLO,APCA International Conference on Automatic Control and Soft Computing,,,,,,Qualis 2017-2020,2021,,,,
CoopIS,International Conference on Cooperative Information Systems,,,,,,Qualis 2017-2020,2021,,,,
CoRL,Conference on Robot Learning,,,,,,Qualis 2017-2020,2021,,,,
COSIT,International Conference on Spatial Information Theory,,,,,,Qualis 2017-2020,2021,,,,
COSN,Conference on Online Social Networks,,,,,,Qualis 2017-2020,2021,,,,
COURB,Workshop of Urban Computing,,,,,,Qualis 2017-2020,2021,,,,
CP,International Conference on Principles and Practice of Constraint Programming,,,,,,Qualis 2017-2020,2021,,,,
CPM,Annual Symposium on Combinatorial Pattern Matching,,,,,,Qualis 2017-2020,2021,,,,
CPP,International Conference on Certified Programs and Proofs,,,,,,Qualis 2017-2020,2021,,,,
CRIWG,International Workshop on Groupware,,,,,,Qualis 2017-2020,2021,,,,
CrownCom,International Conference on Cognitive Radio Oriented Wireless Networks,,,,,,Qualis 2017-2020,2021,,,,
CRV,Canadian Conference on Computer and Robot Vision,,,,,,Qualis 2017-2020,2021,,,,
CRYPTO,International Cryptology Conference,,,,,,Qualis 2017-2020,2021,,,,
CSBC,Congresso da Sociedade Brasileira de Computação,,,,,,Qualis 2017-2020,2021,,,,
CSBIO,International Conference on Computational Systems-Biology and Bioinformatics,,,,,,Qualis 2017-2020,2021,,,,
CSCL,International Conference on Computer Supported Collaborative Learning,,,,,,Qualis 2017-2020,2021,,,,
CSCN,IEEE Conference on Standards for Communications and Networking,,,,,,Qualis 2017-2020,2021,,,,
CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,,,,,,Qualis 2017-2020,2021,,,,
CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,,,,,,Qualis 2017-2020,2021,,,,
CSDS,Conference of the System Dynamics Society,,,,,,Qualis 2017-2020,2021,,,,
CSE,International Conference on Computational Science and Engineering,,,,,,Qualis 2017-2020,2021,,,,
CSEDU,International Conference on Computer Supported Education,,,,,,Qualis 2017-2020,2021,,,,
CSEE&T,Conference on Software Engineering Education and Training,,,,,,Qualis 2017-2020,2021,,,,
CSF,IEEE Computer Security Foundations Symposium,,,,,,Qualis 2017-2020,2021,,,,
CSI-SE,International Workshop on Crowdsourcing in Software Engineering,,,,,,Qualis 2017-2020,2021,,,,
CSL,Conference for Computer Science Logic,,,,,,Qualis 2017-2020,2021,,,,
CSMC,Conference on Computer Simulation of Musical Creativity,,,,,,Qualis 2017-2020,2021,,,,
CSNDSP,"International Symposium on Communication Systems, Networks and Digital Signal Processing",,,,,,Qualis 2017-2020,2021,,,,
