Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
WSCDC,Workshop de Segurança Cibernética em Dispositivos Conectados,,,,,,,,,
WSCG,International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision,,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision|nan",,Recommended,CE-RV,,nan,,
WSDM,ACM Conference International Conference on Web Search and Data Mining,,ACM International Conference on Web Search and Data Mining|nan,,Top10,CE-BD|CE-IA|CE-SI|CE-WEBMEDIA,,nan,6AbX1YWluE4J,wsdm
WSL,Workshop de Software Livre,,,,,,,,,
WSOM,"International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization",,,,,,,,,
WTF,Workshop de Testes e Tolerância a Falhas,,nan,,Recommended,CE-TF,,https://sol.sbc.org.br/index.php/wtf,,
WTranS,Workshop de Transparência de Sistema,,,,,,,,,
WVC,Workshop de Visão Computacional,,nan,,Top20,CE-GRAPI,,nan,,
WWW,International World Wide Web Conferences,,nan,,Top10,CE-BD|CE-RESD|CE-WEBMEDIA,,nan,VtCeQ7ShDloJ,www
XP,International Conference on Agile Software Development,,International Conference on Agile Processes in Software Engineering and Extreme Programming (XP),,Recommended,CE-ES,,nan,CWzNub7mXWkJ,xpu
