Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",,nan,,Recommended,CE-ACPAD|CE-RESD,,nan,YhI5DwI2n2gJ,pdp
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",,,,,,,,,
PECCS,Pervasive and Embedded Computing and Communication Systems,,nan,,Recommended,CE-ESC,,nan,kG0dCDBKbysJ,peccs
PERCOM,International Conference on Pervasive Computing and Communications,,nan,,Recommended,CE-RESD,,nan,gauoYMg7lZMJ,percom
PerComW,IEEE International Conference on Pervasive Computing and Communication Workshops,,,,,,,,,
PervasiveHealth,International Conference on Pervasive Computing Technologies for Healthcare,,nan,,Top10,CE-CAS,,nan,e4Ty9mKqcmgJ,ph
PESOS,International Workshop on Principles of Engineering Service-Oriented and Cloud Systems,,,,,,,,,
PETRA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,,nan,,Recommended,CE-IHC,,nan,,petra
PG,Pacific Conference on Computer Graphics and Applications,,nan,,Top20,CE-GRAPI,,nan,,pg
PGM,International Conference on Probabilistic Graphical Models,,nan,,Recommended,CE-IA,,nan,erUczV5NGi0J,
PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications",,nan,,Top20,CE-RESD,,nan,z284emjTz40J,pimrc
PKC,International Conference on Practice and Theory in Public Key Cryptography,,nan,,Top20,CE-SEG,,nan,6gqvYwOFvq0J,pkc
PLATIAL,International Symposium on Platial Information Science,,nan,,Recommended,CE-Geoinformatica,,nan,,
PLDI,SIGPLAN Conference on Programming Language Design and Implementation,,nan,,Top10,CE-LP,,nan,MJmsjXA6rLIJ,pldi
PLOP,Conference on Pattern Languages of Programs,,nan,,Recommended,CE-ES,,nan,,plop
PODC,ACM Symposium on Principles of Distributed Computing,,nan,,Top20,CE-RESD|CE-TF,,nan,fcioh0Px5iMJ,podc
PODS,Symposium on Principles of Database Systems,,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,,Top10,CE-BD,,nan,,pods
PoEM,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,,nan,,Recommended,CE-SI,,nan,e5pHNeuFGzEJ,ifip8-1
POPL,Symposium on Principles of Programming Languages,,nan,,Top10,CE-LP,,nan,6CxxSCV0pL8J,popl
POST,International Conference on Principles of Security and Trust,,,,,,,,,
PP,SIAM Conference on Parallel Processing for Scientific Computing,,nan,,Recommended,CE-ACPAD,,nan,,ppsc
PPAM,International Conference on Parallel Processing and Applied Mathematics,,nan,,Recommended,CE-ACPAD,,nan,7NHJcpYeTeYJ,ppam
PPDP,International Symposium on Principles and Practice of Declarative Programming,,International  Symposium on Principles and Practice of Declarative Programming|nan,,Top20,CE-LP,,nan,ktOuQEhO-mwJ,ppdp
PPOPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,,nan,,Top10,CE-ACPAD|CE-LP,,nan,JDUQTRUV4EYJ,ppopp
PPSN,International Conference on Parallel Problem Solving from Nature,,,,,,,,,
PRDC,Pacific Rim International Symposium on Dependable Computing,,nan,,Top20,CE-TF,,nan,UMMGw1KV79IJ,prdc
PredictGIS,International Workshop on Prediction of Human Mobility,,nan,,Recommended,CE-Geoinformatica,,nan,,
PRIMA,nternational Conference on Principles and Practice of Multi-Agent Systems,,,,,,,,,
PrivOn,"Workshop on Society, Privacy and the Semantic Web",,,,,,,,,
PROFES,International Conference on Product-Focused Software Process Improvement,,Product Focused Software Process Improvement (PROFES),,Top20,CE-ES,,nan,FQXvEi7Xod4J,profes
PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,,International Conference on Predictive Models in Software Engineering|nan,,Top20,CE-ES,,nan,,promise
PROPOR,International Conference on Computational Processing of the Portuguese Language,,International Conference on the Computational Processing of Portuguese|nan,,Recommended,CE-IA|CE-PLN|CE-SI,,nan,8aBtgrGnL1MJ,propor
PSB,Pacific Symposium on Biocomputing,,nan,,Top10,CE-BioComp,,nan,Wzseq37BLhIJ,
PSCC,Power Systems Computation Conference,,,,,,,,,
PST,"International Conference on Privacy, Security and Trust",,"Conference on Privacy, Security and Trust|nan",,Recommended,CE-SEG,,nan,xoT0NbWIf-kJ,pst
Q2SWinet,ACM Symposium on QoS and Security for Wireless and Mobile Networks,,nan,,Recommended,CE-RESD,,nan,,mswim
QoMEX,International Workshop on Quality of Multimedia Experience,,International Conference on Quality of Multimedia Experience (QoMEX)|nan,,Top20,CE-RV|CE-WEBMEDIA,,nan,bEDbANOodwgJ,qomex
QUATIC,International Conference on Quality of Information and Communications Technology,,nan,,Recommended,CE-ES,,nan,p7mJ2vt7AdAJ,quatic
RADECS,European Conference on Radiation and its Effects on Components and Systems,,European Conference on Radiation and Its Effects on Components and Systems|nan,,Recommended,CE-CCI,,nan,PCzjXRB5L8YJ,
RAHA,IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications,,nan,,Recommended,CE-R,,nan,,
RAID,"International Symposium on Research in Attacks, Intrusions, and Defenses",,nan,,Recommended,CE-SEG,,nan,826ERjda8dUJ,raid
RANLP,International Conference on Recent Advances in Natural Language Processing,,nan,,Top20,CE-PLN,,nan,Y7mlmpXAthkJ,ranlp
RCAR,IEEE International Conference on Real-time Computing and Robotics,,nan,,Recommended,CE-ESC|CE-R,,nan,LLCdED38YXkJ,rcar
RCIS,International Conference on Research Challenges in Information Science,,nan,,Recommended,CE-ES|CE-SI,,nan,yxUYnK6YD7QJ,rcis
RE,IEEE International Requirements Engineering Conference,,nan,,Recommended,CE-ES,,nan,fkF-UcrzbCsJ,re
REBLS,Workshop on Reactive and Event-Based Languages and Systems,,nan,,Recommended,CE-LP,,nan,,rebls
RECOMB,International Conference on Research in Computational Molecular Biology,,nan,,Top10,CE-BioComp,,nan,Bt5D8QeIDW8J,
RECONFIG,International Conference on Reconfigurable Computing and FPGAs,,nan,,Recommended,CE-CCI,,nan,,reconfig
RECOSOC,International Symposium on Reconfigurable Communication-centric Systems-on-Chip,,nan,,Recommended,CE-ACPAD|CE-CCI|CE-ESC,,nan,z8sUAB07Au0J,recosoc
