comp_id,sigla,nome,siglas_alt,nomes_alt,sociedade,avaliacao,origem,ieee_id,sol_id,gs_id,dblp_id
CompID900087,ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,,,,Qualis 2017-2020,,,,
CompID900088,ASMS,Advanced Satellite Multimedia Systems Conference,,,,,Qualis 2017-2020,,,,
CompID900089,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,,,Qualis 2017-2020,,,,
CompID900090,ASP-DAC,Asia and South Pacific Design Automation Conference,,,,,Qualis 2017-2020,,,,
CompID900091,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,,,,,Qualis 2017-2020,,,,
CompID900092,ASPRS,Annual Conference and International Lidar Mapping Forum,,,,,Qualis 2017-2020,,,,
CompID900093,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,,,,,Qualis 2017-2020,,,,
CompID900094,AST,IEEE/ACM International Workshop on Automation of Software Testing,,,,,Qualis 2017-2020,,,,
CompID900095,ASWEC,Australasian Software Engineering Conference,,,,,Qualis 2017-2020,,,,
CompID900096,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,,,,,Qualis 2017-2020,,,,
CompID900097,ATC,USENIX Annual Technical Conference,,,,,Qualis 2017-2020,,,,
CompID900098,Atech,International Conference on Agreement Technologies,,,,,Qualis 2017-2020,,,,
CompID900099,ATS,Asian Test Symposium,,,,,Qualis 2017-2020,,,,
CompID900100,ATT,International Workshop on Agents in Traffic and Transportation,,,,,Qualis 2017-2020,,,,
CompID900101,AUDIOMOSTLY,Audio Mostly Conference,,,,,Qualis 2017-2020,,,,
CompID900102,AusDM,Australasian Data Mining Conference,,,,,Qualis 2017-2020,,,,
CompID900103,AVI,International Working Conference on Advanced Visual Interfaces,,,,,Qualis 2017-2020,,,,
CompID900104,AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,,,,,Qualis 2017-2020,,,,
CompID900105,BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,Qualis 2017-2020,,,,
CompID900106,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,,,,Qualis 2017-2020,,,,
CompID900107,BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,Qualis 2017-2020,,,,
CompID900108,BDCLOUD,International Conference on Big Data and Cloud Computing,,,,,Qualis 2017-2020,,,,
CompID900109,BENCH,"International Symposium on Benchmarking, Measuring and Optimization",,,,,Qualis 2017-2020,,,,
CompID900110,BESC,"International Conference on Behavior, Economic and Social Computing",,,,,Qualis 2017-2020,,,,
CompID900111,BIATA,Bioinformatics: from Algorithms to Applications,,,,,Qualis 2017-2020,,,,
CompID900112,BIBE,IEEE International Conference on BioInformatics and BioEngineering,,,,,Qualis 2017-2020,,,,
CompID900113,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,,,,,Qualis 2017-2020,,,,
CompID900114,BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,,,,,Qualis 2017-2020,,,,
CompID900115,BIGDATA,IEEE International Conference on Big Data,,,,,Qualis 2017-2020,,,,
CompID900116,BigDataSE,IEEE International Conference On Big Data Science And Engineering,,,,,Qualis 2017-2020,,,,
CompID900117,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,,,,,Qualis 2017-2020,,,,
CompID900118,BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900119,BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,,,,,Qualis 2017-2020,,,,
CompID900120,BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,,,,,Qualis 2017-2020,,,,
CompID900121,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,,Qualis 2017-2020,,,,
CompID900122,BIOSENSORS,World Congress on Biosensors,,,,,Qualis 2017-2020,,,,
CompID900123,BIS,International Conference on Business Information Systems,,,,,Qualis 2017-2020,,,,
CompID900124,BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,,,,,Qualis 2017-2020,,,,
CompID900125,BLOCKCHAIN,IEEE International Conference on Blockchain,,,,,Qualis 2017-2020,,,,
CompID900126,BMEI,International Conference BioMedical Engineering and Informatics,,,,,Qualis 2017-2020,,,,
CompID900127,BMVC,British Machine Vision Conference,,,,,Qualis 2017-2020,,,,
CompID900128,BPM,International Conference on Business Process Management,,,,,Qualis 2017-2020,,,,
CompID900129,BPMS2,Workshop on Social and Human Aspects of Business Process Management,,,,,Qualis 2017-2020,,,,
CompID900130,BRACIS,Brazilian Conference on Intelligent Systems,,,,,Qualis 2017-2020,,,,
CompID900131,BRAHUR,Brazilian Humanoid Robot Workshop,,,,,Qualis 2017-2020,,,,
CompID900132,BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",,,,,Qualis 2017-2020,,,,
CompID900133,BRASERO,Brazilian Workshop on Service Robotics,,,,,Qualis 2017-2020,,,,
CompID900134,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,,,,,Qualis 2017-2020,,,,
CompID900135,BRESCI,Brazilian e-Science Workshop,,,,,Qualis 2017-2020,,,,
CompID900136,BSB,Brazilian Symposium on Bioinformatics,,,,,Qualis 2017-2020,,,,
CompID900137,BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,,,,,Qualis 2017-2020,,,,
CompID900138,BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",,,,,Qualis 2017-2020,,,,
CompID900139,C&T,International Conference on Communities and Technologies,,,,,Qualis 2017-2020,,,,
CompID900140,C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",,,,,Qualis 2017-2020,,,,
CompID900141,CAD,International CAD Conference,,,,,Qualis 2017-2020,,,,
CompID900142,CADE,International Conference on Automated Deduction,,,,,Qualis 2017-2020,,,,
CompID900143,CAIP,International Conference on Computer Analysis of Images and Patterns,,,,,Qualis 2017-2020,,,,
CompID900144,CAISE,International Conference on Advanced Information Systems Engineering,,,,,Qualis 2017-2020,,,,
CompID900145,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,,,,,Qualis 2017-2020,,,,
CompID900146,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,,,,,Qualis 2017-2020,,,,
CompID900147,CANDAR,International Symposium on Computing and Networking,,,,,Qualis 2017-2020,,,,
CompID900148,CANS,International Conference on Cryptology and Network Security,,,,,Qualis 2017-2020,,,,
CompID900149,CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,,,,,Qualis 2017-2020,,,,
CompID900150,CARLA,Latin America High Performance Computing Conference,,,,,Qualis 2017-2020,,,,
CompID900151,CASA,Conference on Computer Animation and Social Agents,,,,,Qualis 2017-2020,,,,
CompID900152,CASCON,Annual International Conference on Computer Science and Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900153,CASE,IEEE Conference on Automation Science and Engineering,,,,,Qualis 2017-2020,,,,
CompID900154,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,,,,Qualis 2017-2020,,,,
CompID900155,CATA,International Conference on Computers and their Applications,,,,,Qualis 2017-2020,,,,
CompID900156,CATE,Computers and Advanced Technology in Education,,,,,Qualis 2017-2020,,,,
CompID900157,CAV,International Conference on Computer Aided Verification,,,,,Qualis 2017-2020,,,,
CompID900158,CBA,Congresso Brasileiro de Automática,,,,,Qualis 2017-2020,,,,
CompID900159,CBEB,Congresso Brasileiro de Engenharia Biomédica,,,,,Qualis 2017-2020,,,,
CompID900160,CBI,IEEE Conference on Business Informatics,,,,,Qualis 2017-2020,,,,
CompID900161,CBIC,Congresso Brasileiro de Inteligência Computacional,,,,,Qualis 2017-2020,,,,
CompID900162,CBIS,Congresso Brasileiro de Informática em Saúde,,,,,Qualis 2017-2020,,,,
CompID900163,CBMI,International Workshop on Content-Based Multimedia Indexing,,,,,Qualis 2017-2020,,,,
CompID900164,CBMS,International Symposium on Computer-Based Medical Systems,,,,,Qualis 2017-2020,,,,
CompID900165,CBS,IEEE International Conference on Cyborg and Bionic Systems,,,,,Qualis 2017-2020,,,,
CompID900166,CBSF,Congresso Brasileiro de Sistemas Fuzzy,,,,,Qualis 2017-2020,,,,
CompID900167,CBSoft,Brazilian Conference on Software: Theory and Practice,,,,,Qualis 2017-2020,,,,
CompID900168,CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,,,,,Qualis 2017-2020,,,,
CompID900169,CC,International Conference on Compiler Construction,,,,,Qualis 2017-2020,,,,
CompID900170,CCC,IEEE Conference on Computational Complexity,,,,,Qualis 2017-2020,,,,
CompID900171,CCCG,Canadian Conference on Computational Geometry,,,,,Qualis 2017-2020,,,,
CompID900172,CCECE,Canadian Conference on Electrical and Computer Engineering,,,,,Qualis 2017-2020,,,,
CompID900173,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",,,,,Qualis 2017-2020,,,,
CompID900174,CCNC,Annual IEEE Consumer Communications & Networking Conference,,,,,Qualis 2017-2020,,,,
CompID900175,CCS,ACM Symposium on Computer and Communications Security,,,,,Qualis 2017-2020,,,,
CompID900176,CCSI,Workshop on Core Computations on Spatial Information,,,,,Qualis 2017-2020,,,,
CompID900177,CDC,IEEE Conference on Decision and Control,,,,,Qualis 2017-2020,,,,
CompID900178,CDH,International Conference on Digital Health,,,,,Qualis 2017-2020,,,,
CompID900179,CDVE,"International Conference on Cooperative Design, Visualization, and Engineering",,,,,Qualis 2017-2020,,,,
CompID900180,CEC,IEEE Congress on Evolutionary Computation,,,,,Qualis 2017-2020,,,,
CompID900181,CECC,Central European Cybersecurity Conference,,,,,Qualis 2017-2020,,,,
CompID900182,CELDA,Cognition and Exploratory Learning in Digital Age,,,,,Qualis 2017-2020,,,,
CompID900183,CENTERIS,Conference on ENTERprise Information Systems,,,,,Qualis 2017-2020,,,,
CompID900184,CESI,International Workshop on Conducting Empirical Studies in Industry,,,,,Qualis 2017-2020,,,,
CompID900185,CF,ACM International Conference on Computing Frontiers,,,,,Qualis 2017-2020,,,,
CompID900186,CGI,Computer Graphics International Conference,,,,,Qualis 2017-2020,,,,
CompID900187,CGO,International Symposium on Code Generation and Optimization,,,,,Qualis 2017-2020,,,,
CompID900188,CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900189,CHES,Conference on Cryptographic Hardware and Embedded Systems,,,,,Qualis 2017-2020,,,,
CompID900190,CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,Qualis 2017-2020,,,,
CompID900191,CHIIR,Conference on Human Information Interaction and Retrieval,,,,,Qualis 2017-2020,,,,
CompID900192,CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,,,,Qualis 2017-2020,,,,
CompID900193,CIAC,International Conference on Algorithms and Complexity,,,,,Qualis 2017-2020,,,,
CompID900194,CIARP,Iberoamerican Congress on Pattern Recognition,,,,,Qualis 2017-2020,,,,
CompID900195,CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,,,,,Qualis 2017-2020,,,,
CompID900196,CIbSE,Conferencia Iberoamericana de Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900197,CIC,International Conference on Collaboration and Internet Computing,,,,,Qualis 2017-2020,,,,
CompID900198,CICC,IEEE Custom Integrated Circuits Conference,,,,,Qualis 2017-2020,,,,
CompID900199,CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,,,,,Qualis 2017-2020,,,,
CompID900200,CIDI,Congresso Internacional de Design da Informação,,,,,Qualis 2017-2020,,,,
CompID900201,CIDM,Symposium on Computational Intelligence and Data Mining,,,,,Qualis 2017-2020,,,,
CompID900202,CIDR,Biennial Conference on Innovative Data Systems Research,,,,,Qualis 2017-2020,,,,
CompID900203,CIG,IEEE Conference on Computational Intelligence and Games,,,,,Qualis 2017-2020,,,,
CompID900204,CIKM,ACM International Conference on Information and Knowledge Management,,,,,Qualis 2017-2020,,,,
CompID900205,CILAMCE,Iberian Latin American Congress on Computational Methods,,,,,Qualis 2017-2020,,,,
CompID900206,CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",,,,,Qualis 2017-2020,,,,
CompID900207,CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems",,,,,Qualis 2017-2020,,,,
CompID900208,CISTI,Iberian Conference on Information Systems and Technologies,,,,,Qualis 2017-2020,,,,
CompID900209,CIT,IEEE International Conference on Computer and Information Technology,,,,,Qualis 2017-2020,,,,
CompID900210,CITS,"International Conference on Computer, Information, and Telecommunication Systems",,,,,Qualis 2017-2020,,,,
CompID900211,CL,Corpus Linguistics Conference,,,,,Qualis 2017-2020,,,,
CompID900212,CLAIO,Latin-Ibero-American Conference on Operations Research,,,,,Qualis 2017-2020,,,,
CompID900213,CLEF,Conference and Labs of the Evaluation Forum,,,,,Qualis 2017-2020,,,,
CompID900214,CLEI,Conferencia Latinoamericana de Informática,,,,,Qualis 2017-2020,,,,
CompID900215,CLIHC,Latin American Conference on Human Computer Interaction,,,,,Qualis 2017-2020,,,,
CompID900216,CLOSER,International Conference on Cloud Computing and Services Science,,,,,Qualis 2017-2020,,,,
CompID900217,CLOUD,IEEE International Conference on Cloud Computing,,,,,Qualis 2017-2020,,,,
CompID900218,CloudCom,IEEE International Conference on Cloud Computing Technology and Science,,,,,Qualis 2017-2020,,,,
CompID900219,CLOUDCOMPUTING-IARIA,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",,,,,Qualis 2017-2020,,,,
CompID900220,CLOUDDB,IEEE International workshop on Cloud data management,,,,,Qualis 2017-2020,,,,
CompID900221,CloudNet,IEEE International Conference on Cloud Networking,,,,,Qualis 2017-2020,,,,
CompID900222,CLOUDTECH,International Conference on Cloud Computing Technologies and Applications,,,,,Qualis 2017-2020,,,,
CompID900223,CLUSTER,IEEE International Conference on Cluster Computing,,,,,Qualis 2017-2020,,,,
CompID900224,CMMR,International Symposium on Computer Music Multidisciplinary Research,,,,,Qualis 2017-2020,,,,
CompID900225,CMN,Congress on Numerical Methods in Engineering,,,,,Qualis 2017-2020,,,,
CompID900226,CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,,,SBMAC,,Qualis 2017-2020,,,,
CompID900227,CNS,IEEE Conference on Communications and Network Security,,,,,Qualis 2017-2020,,,,
CompID900228,CNSM,International Conference on Network and Service Management,,,,,Qualis 2017-2020,,,,
CompID900229,CoARCH,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,,,,,Qualis 2017-2020,,,,
CompID900230,COCOA,International Conference on Combinatorial Optimization and Applications,,,,,Qualis 2017-2020,,,,
CompID900231,COCOON,International Computing and Combinatorics Conference,,,,,Qualis 2017-2020,,,,
CompID900232,CODASPY,ACM Conference on Data and Application Security and Privacy,,,,,Qualis 2017-2020,,,,
CompID900233,CODES+ISS,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,,,,,Qualis 2017-2020,,,,
CompID900234,COG,IEEE Conference on Games,,,,,Qualis 2017-2020,,,,
CompID900235,COGNISE,International Workshop on Cognitive Aspects of Information Systems Engineering,,,,,Qualis 2017-2020,,,,
CompID900236,COGSCI,Annual Meeting of the Cognitive Science Society,,,,,Qualis 2017-2020,,,,
CompID900237,CogSIMA,IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support,,,,,Qualis 2017-2020,,,,
CompID900238,ColCACI,IEEE Colombian Conference on Applications in Computational Intelligence,,,,,Qualis 2017-2020,,,,
CompID900239,COLING,International Conference on Computational Linguistics,,,,,Qualis 2017-2020,,,,
CompID900240,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",,,,,Qualis 2017-2020,,,,
CompID900241,CollabTech,International Conference on Collaboration Technologies and Social Computing,,,,,Qualis 2017-2020,,,,
CompID900242,COLT,Conference on Learning Theory,,,,,Qualis 2017-2020,,,,
CompID900243,CoMeSySo,Computational Methods in Systems and Software,,,,,Qualis 2017-2020,,,,
CompID900244,COMMA,International Conference on Computational Models of Argument,,,,,Qualis 2017-2020,,,,
CompID900245,COMPSAC,IEEE Computer Software and Applications Conference,,,,,Qualis 2017-2020,,,,
CompID900246,COMSNETS,International Conference on Communication Systems & NetworkS,,,,,Qualis 2017-2020,,,,
CompID900247,COMSOC,International Workshop on Computational Social Choice,,,,,Qualis 2017-2020,,,,
CompID900248,CONCUR,International Conference on Concurrency Theory,,,,,Qualis 2017-2020,,,,
CompID900249,CONEXT,Conference on Emerging Network Experiment and Technology,,,,,Qualis 2017-2020,,,,
CompID900250,CONFIRM,International Conference on Information Resources Management,,,,,Qualis 2017-2020,,,,
CompID900251,CONISOFT,International Conference in Software Engineering Research and Innovation,,,,,Qualis 2017-2020,,,,
CompID900252,CoNLL,Conference on Natural Language Learning,,,,,Qualis 2017-2020,,,,
CompID900253,CONTECSI,International Conference on Information Systems and Technology Management,,,,,Qualis 2017-2020,,,,
CompID900254,CONTEXT-BPM,International Workshop on Context for Business Process Management,,,,,Qualis 2017-2020,,,,
CompID900255,CONTROLO,APCA International Conference on Automatic Control and Soft Computing,,,,,Qualis 2017-2020,,,,
CompID900256,CoopIS,International Conference on Cooperative Information Systems,,,,,Qualis 2017-2020,,,,
CompID900257,CoRL,Conference on Robot Learning,,,,,Qualis 2017-2020,,,,
CompID900258,COSIT,International Conference on Spatial Information Theory,,,,,Qualis 2017-2020,,,,
CompID900259,COSN,Conference on Online Social Networks,,,,,Qualis 2017-2020,,,,
CompID900260,COURB,Workshop of Urban Computing,,,,,Qualis 2017-2020,,,,
CompID900261,CP,International Conference on Principles and Practice of Constraint Programming,,,,,Qualis 2017-2020,,,,
CompID900262,CPM,Annual Symposium on Combinatorial Pattern Matching,,,,,Qualis 2017-2020,,,,
CompID900263,CPP,International Conference on Certified Programs and Proofs,,,,,Qualis 2017-2020,,,,
CompID900264,CRIWG,International Workshop on Groupware,,,,,Qualis 2017-2020,,,,
CompID900265,CrownCom,International Conference on Cognitive Radio Oriented Wireless Networks,,,,,Qualis 2017-2020,,,,
CompID900266,CRV,Canadian Conference on Computer and Robot Vision,,,,,Qualis 2017-2020,,,,
CompID900267,CRYPTO,International Cryptology Conference,,,,,Qualis 2017-2020,,,,
CompID900268,CSBC,Congresso da Sociedade Brasileira de Computação,,,,,Qualis 2017-2020,,,,
CompID900269,CSBIO,International Conference on Computational Systems-Biology and Bioinformatics,,,,,Qualis 2017-2020,,,,
CompID900270,CSCL,International Conference on Computer Supported Collaborative Learning,,,,,Qualis 2017-2020,,,,
CompID900271,CSCN,IEEE Conference on Standards for Communications and Networking,,,,,Qualis 2017-2020,,,,
CompID900272,CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,,,,,Qualis 2017-2020,,,,
