Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
AIIDE,2025.0,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment|AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment ,,Top10,CE-IA-2024.ce.csv|CE-JOGOS-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AIM,2025.0,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,Recommended,CE-R-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AIME,2025.0,Conference on Artificial Intelligence in Medicine,AIME,Artificial Intelligence in Medicine|Conference on Artificial Intelligence in Medicine,,Top20,CE-CAS-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AIML,2025.0,Advances in Modal Logic,AIML,Advances in Modal Logic,,Top20,CE-L-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AIMS,2025.0,"International Conference on Autonomous Infrastructure, Management and Security",,,,,,Qualis 2017-2020,,,,
AINA,2025.0,IEEE International Conference on Advanced Information Networking and Applications,AINA,IEEE International Conference on Advanced Information Networking and Applications,,Recommended,CE-BD-2024.ce.csv|CE-RESD-2024.ce.csv|CE-TF-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AINAW,2025.0,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,,Qualis 2017-2020,,,,
AIPR,2025.0,Applied Imagery Pattern Recognition Workshop,,,,,,Qualis 2017-2020,,,,
AISTATS,2025.0,International Conference on Artificial Intelligence and Statistics,AISTATS,International Conference on Artificial Intelligence and Statistics,,Top20,CE-IA-2024.ce.csv|CE-IC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AITest,2025.0,IEEE International Conference On Artificial Intelligence Testing,,,,,,Qualis 2017-2020,,,,
AITM,2025.0,Conference on Advanced Information Technologies for Management,,,,,,Qualis 2017-2020,,,,
AlCoB,2025.0,International Conference on Algorithms for Computational Biology,AlCoB,International Conference on Algorithms for Computational Biology,,Top20,CE-BioComp-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ALENEX,2025.0,SIAM Symposium on Algorithm Engineering and Experiments,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,Recommended,CE-ACO-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ALIO/EURO,2025.0,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,Recommended,CE-ACO-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ALLERTON,2025.0,"Allerton Conference on Communication, Control, and Computing",ALLERTON,"Allerton Conference on Communication, Control, and Computing",,Recommended,CE-RESD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AMCIS,2025.0,Americas Conference on Information Systems,AMCIS,Americas Conference on Information Systems,,Top10,CE-SI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AMD,2025.0,Workshop on Analysis of Movement Data,AMD,Workshop on Analysis of Movement Data,,Recommended,CE-Geoinformatica-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AMIA,2025.0,Annual Symposium of the American Medical Informatics Association,AMIA,AMIA Symposium|American Medical Informatics Association Annual Symposium,,Top10,CE-CAS-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AMW,2025.0,Alberto Mendelzon International Workshop on Foundations of Data Management,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,Recommended,CE-BD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ANCS,2025.0,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,Recommended,CE-RESD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ANPPOM,2025.0,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,Top20,CE-CM-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ANSS,2025.0,Annual Simulation Symposium,,,,,,Qualis 2017-2020,,,,
ANT,2025.0,"International Conference on Ambient Systems, Networks and Technologies",,,,,,Qualis 2017-2020,,,,
ANTS,2025.0,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,,Qualis 2017-2020,,,,
APCCAS,2025.0,IEEE Asia Pacific Conference on Circuits and Systems,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,,Recommended,CE-CCI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
APKC,2025.0,ACM on ASIA Public-Key Cryptography Workshop,,,,,,Qualis 2017-2020,,,,
APLAS,2025.0,Asian Symposium on Programming Languages and Systems,APLAS,Asian Symposium on Programming Languages and Systems,,Recommended,CE-LP-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
