Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
ICTAI,2025,IEEE International Conference on Tools with Artificial Intelligence,,IEEE International Conference on Artificial Intelligence Tools|International Conference on Tools with Artificial Intelligence|nan,,Top20,CE-GRAPI|CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,,7SUUxQF2w2cJ,ictai
ICTC,2025,International Conference on Information and Communication Technology Convergence,,,,,,Qualis 2017-2020,,,,
ICTCS,2025,Italian Conference on Theoretical Computer Science,,,,,,Qualis 2017-2020,,,,
ICTIR,2025,Conference on the Theory of Information Retrieval,,International Conference on the Theory of Information Retrieval,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,ictir
ICTON,2025,International Conference on Transparent Optical Networks,,,,,,Qualis 2017-2020,,,,
ICTSS,2025,IFIP International Conference on Testing Software and Systems,,International Conference on Testing Software and Systems|nan,,Recommended,CE-BD|CE-ES,Qualis 2017-2020|SBC CE-2024,,,,pts
ICUAS,2025,International Conference on Unmanned Aircraft Systems,,nan,,Top10,CE-R|CE-RESD|CE-RV,Qualis 2017-2020|SBC CE-2024,,,P7JmirE2spgJ,
ICUMT,2025,International Conference on Ultra Modern Telecommunications,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,Lpmu4bd0tVsJ,icumt
ICVIIP,2025,International Conference on Visualization: Imaging and Image Processing,,nan,,Recommended,CE-RV,Qualis 2017-2020|SBC CE-2024,,,,
ICVR,2025,International Conference on Virtual Rehabilitation,,nan,,Top20,CE-CAS,Qualis 2017-2020|SBC CE-2024,,,rw5ieHT7BnMJ,
ICVRV,2025,International Conference on Virtual Reality and Visualization,,,,,,Qualis 2017-2020,,,,
ICVS,2025,International Conference on Computer Vision Systems,,,,,,Qualis 2017-2020,,,,
ICWE,2025,International Conference on Web Engineering,,International Conference on Web Engineering (ICWE)|nan,,Top20,CE-ES|CE-SI|CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,I8L8xmsrq2EJ,icwe
ICWL,2025,International Conference on Web-Based Learning,,,,,,Qualis 2017-2020,,,,
ICWN,2025,International Conference on Wireless Networks,,,,,,Qualis 2017-2020,,,,
ICWS,2025,IEEE International Conference on Web Services,,IEEE International Conference on Web Services|International Conference on Web Services|nan,,Top20,CE-SI|CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,UYzshLpmx2EJ,icws
ICWSM,2025,International AAAI Conference on Web and Social Media,,International Conference on Web and Social Media|International Conference on Web and Social Media (ICWSM)|nan,,Top10,CE-BD|CE-IA|CE-SC|CE-SI|CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,eH4qSzdbVtwJ,icwsm
IDC,2025,International Symposium on Intelligent Distributed Computing,,ACM Interaction Design and Children Conference|International Conference on Interaction Design and Children|International Conference on Interaction Design and Children (IDC)International Conference on Interaction Design and Children (ID|nan,,Top10,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,6bHuP8hpZRIJ,acmidc
IDCS,2025,International Conference on Internet and Distributed Computing Systems,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,,idcs
IDEAS,2025,International Database Engineering and Applications Symposium,,International Database Engineering & Applications Symposium,,Top20,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,ideas
IEAAIE,2025,International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems,,,,,,Qualis 2017-2020,,,,
IECON,2025,Annual Conference of the IEEE Industrial Electronics Society,,nan,,Recommended,CE-ESC|CE-R,Qualis 2017-2020|SBC CE-2024,,,j7dS7aP2eTEJ,iecon
IEEE IST,2025,IEEE International Conference on Imaging Systems and Techniques,,IEEE International Workshop on Imaging Systems and Techniques|nan,,Recommended,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,Q_PhJS0hr7sJ,ist
IEEE NANO,2025,IEEE Conference on Nanotechnology,,nan,,Top20,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,q_zVL_Uah5UJ,
IEEE VIS,2025,IEEE Visualization,,IEEE Visualization Conference|nan,,Top10,CE-GRAPI|CE-RV,Qualis 2017-2020|SBC CE-2024,,,ISkzejISPjIJ,visualization
IEEECloudS,2025,IEEE Cloud Summit,,,,,,Qualis 2017-2020,,,,
IEEEISWC,2025,IEEE International Symposium on Wearable Computers,,,,,,Qualis 2017-2020,,,,
IEEENANO,2025,International Conference on Nanotechnology,,,,,,Qualis 2017-2020,,,,
IEEESCC,2025,IEEE International Conference on Services Computing,,,,,,Qualis 2017-2020,,,,
IESS,2025,IFIP International Embedded Systems Symposium,,nan,,Recommended,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,,iess
IESTEC,2025,"International Engineering, Sciences and Technology Conference",,,,,,Qualis 2017-2020,,,,
IFAC,2025,World Congress of the International Federation of Automatic Control,,nan,,Recommended,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,bIF9l832asoJ,
IFIPIoT,2025,IFIP International Internet of Things Conference,,,,,,Qualis 2017-2020,,,,
IFIPISC,2025,IFIP International Information Security Conference,,,,,,Qualis 2017-2020,,,,
IFM,2025,International Conference on Integrated Formal Methods,,Integrated Formal Methods|nan,,Top10,CE-MF,Qualis 2017-2020|SBC CE-2024,,,Gzge6qp3seEJ,
IFSA,2025,World Congress of International Fuzzy Systems Association,,,,,,Qualis 2017-2020,,,,
IGSC,2025,International Green and Sustainable Computing Conference,,,,,,Qualis 2017-2020,,,,
IH&MMSec,2025,ACM Workshop on Information Hiding and Multimedia Security,,nan,,Recommended,CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,VXpZxWaAe0QJ,
IHC,2025,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,,Brazilian Symposium on Human Factors in Computing Systems|IHC - Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais|nan,,Top10,CE-IHC|CE-RV|CE-SC|CE-SI,Qualis 2017-2020|SBC CE-2024,,ihc,jyopF_8JEZIJ,ihc
IHM,2025,Conférence Francophone sur l’Interaction Homme-Machine,,Conférence Francophone sur l’Interaction Homme-Machin|nan,,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,,ihm
IIH-MSP,2025,International Conference on Intelligent Information Hiding and Multimedia Signal Processing,,nan,,Recommended,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,glSJUMMggrUJ,iih-msp
IISA,2025,"International Conference on Information, Intelligence, Systems and Applications",,,,,,Qualis 2017-2020,,,,
IISWC,2025,IEEE International Symposium on Workload Characterization,,nan,,Recommended,CE-ACPAD,Qualis 2017-2020|SBC CE-2024,,,4qd95Riz9Y4J,iiswc
IIWAS,2025,International Conference on Information Integration and Web-based Applications & Services,,International Conference on Information Integration and Web Intelligence|nan,,Top20,CE-BD|CE-SI,Qualis 2017-2020|SBC CE-2024,,,Tq_VLYZkpzwJ,iiwas
IJCAI,2025,International Joint Conference on Artificial Intelligence,,International Joint Conference on Artificial Intelligence (IJCAI)|nan,,Top10,CE-GRAPI|CE-IA|CE-IC|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,4HxsSu0PUdYJ,ijcai
IJCAR,2025,International Joint Conference on Automated Reasoning,,nan,,Top20,CE-L,Qualis 2017-2020|SBC CE-2024,,,,ijcar
IJCCI,2025,International Joint Conference on Computational Intelligence,,,,,,Qualis 2017-2020,,,,
IJCNLP,2025,International Joint Conference on Natural Language Processing,,nan,,Top10,CE-PLN,Qualis 2017-2020|SBC CE-2024,,,kYJHGA9yIBMJ,ijcnlp
IJCNN,2025,IEEE International Joint Conference on Neural Networks,,International Joint Conference on Neural Networks|nan,,Top10,CE-GRAPI|CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,,-t1SY74YlYcJ,ijcnn
ILA,2025,Interaction Latin America,,,,,,Qualis 2017-2020,,,,
ILP,2025,International Conference on Inductive Logic Programming,,nan,,Recommended,CE-IA,Qualis 2017-2020|SBC CE-2024,,,,ilp
IM,2025,IFIP/IEEE International Symposium on Integrated Network Management,,nan,,Top20,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,_XEusYoPeXgJ,im
IMBSA,2025,International Symposium on Model-Based Safety and Assessment,,,,,,Qualis 2017-2020,,,,
IMC,2025,ACM Internet Measurement Conference,,Internet Measurement Conference|nan,,Top10,CE-RESD|CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,Yh-Vy_bHNYMJ,imc
IMCOM,2025,International Conference on Ubiquitous Information Management and Communication,,,,,,Qualis 2017-2020,,,,
IMIS,2025,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,6Xfj7Y8gKaYJ,imis
IMOC,2025,SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference,,,,,,Qualis 2017-2020,,,,
INCOS,2025,International Conference on Intelligent Networking and Collaborative Systems,,INCOS - International Conference on Intelligent Networking and Collaborative Systems|nan,,Top20,CE-SC,Qualis 2017-2020|SBC CE-2024,,,,
INDIN,2025,IEEE International Conference on Industrial Informatics,,nan,,Top20,CE-ESC|CE-R,Qualis 2017-2020|SBC CE-2024,,,IRnEg4i2mP4J,indin
INDOCRYPT,2025,International Conference on Cryptology in India,,nan,,Recommended,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,NQGo0SktmDsJ,indocrypt
INDUSCON,2025,International Conference on Industry Applications,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,kHVE9lQrYc8J,
INFOCOM,2025,IEEE International Conference on Computer Communications,,nan,,Top10,CE-ESC|CE-RESD,Qualis 2017-2020|SBC CE-2024,,,JMgzZsGYu14J,infocom
InfoVis,2025,IEEE Information Visualization,,nan,,Recommended,CE-RV,Qualis 2017-2020|SBC CE-2024,,,vRWGetFmuFkJ,infovis
INLG,2025,International Natural Language Generation conference,,International Natural Language Generation Conference|nan,,Top20,CE-IA|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,WcIBEdCoDl0J,inlg
INOC,2025,International Network Optimization Conference,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,,inoc
INSCIT,2025,"International Symposium on Instrumentation Systems, Circuits and Transducers",,,,,,Qualis 2017-2020,,,,
INTECH,2025,International Conference on Innovative Computing Technology,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,,
INTELLISYS,2025,SAI Intelligent Systems Conference,,,,,,Qualis 2017-2020,,,,
INTERACT,2025,IFIP TC 13 International Conference on Human-Computer Interaction,,IFIP Conference on Human-Computer Interaction|IFIP International Conference on Human-Computer Interaction|IFIP TC13 International Conference on Human-Computer Interaction (INTERACT)|nan,,Top10,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,6hYO_ZiWs1YJ,interact
INTERSPEECH,2025,Conference of the International Speech Communication Association,,nan,,Top20,CE-GRAPI|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,ssdQ_yPkyjAJ,interspeech
INTESA,2025,INTelligent Embedded Systems Architectures and Applications Workshop,,,,,,Qualis 2017-2020,,,,
IOLTS,2025,IEEE International On-Line Testing Symposium,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,0SR2S8_NVfUJ,iolts
IoTAAL,2025,Workshop on Internet of Things for Ambient Assisted Living,,nan,,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,,
IoTBDS,2025,International Conference on Internet of Things and Big Data and Security,,,,,,Qualis 2017-2020,,,,
IOTSMS,2025,"International Conference on Internet of Things: Systems, Management and Security",,,,,,Qualis 2017-2020,,,,
IPAW,2025,International Provenance and Annotation Workshop,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,ipaw
IPCCC,2025,"International Performance, Computing, and Communications Conference",,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,LM8Vo6K7w5QJ,ipccc
IPCO,2025,Conference on Integer Programming and Combinatorial Optimization,,nan,,Top10,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,_8wwFhBIq4cJ,ipco
IPCVWC,2025,"International Conference on Image Processing, Computer Vision, and Pattern Recognition",,,,,,Qualis 2017-2020,,,,
IPDLN,2025,International Population Data Linkage Network,,nan,,Recommended,CE-CAS,Qualis 2017-2020|SBC CE-2024,,,,
IPDPS,2025,IEEE International Parallel & Distributed Processing Symposium,,IEEE International Symposium on Parallel & Distributed Processing|nan,,Top10,CE-ACPAD|CE-RESD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,Cge5_JoKLicJ,ipdps
IPDPSW,2025,IEEE International Parallel & Distributed Processing Symposium Workshops,,,,,,Qualis 2017-2020,,,,
IPEC,2025,International Symposium on Parameterized and Exact Computation,,nan,,Top20,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,omO5C9pkf-8J,iwpec
IPMU,2025,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,,nan,,Recommended,CE-IA|CE-IC|CE-SI,Qualis 2017-2020|SBC CE-2024,,,DxTMQsOcxf0J,ipmu
IPSN,2025,International Conference on Information Processing in Sensor Networks,,,,,,Qualis 2017-2020,,,,
IRC,2025,IEEE International Conference on Robotic Computing,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,X5iIIuMWM_8J,
IRI,2025,IEEE International Conference on Information Reuse and Integration,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,iri
IRIS,2025,IEEE International Symposium on Robotics and Intelligent Sensors,,,,,,Qualis 2017-2020,,,,
IROS,2025,IEEE/RSJ International Conference on Intelligent Robots and Systems,,IEEE/RJS International Conference on Intelligent Robots and Systems|IEEE/RSJ Interrnational Conference on Intelligent Robots and Systems|IEEE/RSJ Intrernational Conference on Intelligent Robots and Systems|nan,,Top10,CE-GRAPI|CE-IA|CE-IC|CE-R|CE-RV,Qualis 2017-2020|SBC CE-2024,,,QZ31s4XlF8EJ,iros
ISAAC,2025,International Symposium on Algorithms and Computation,,nan,,Top20,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,REeNFlEptmgJ,isaac
ISADS,2025,International Symposium on Autonomous Decentralized Systems,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,,isads
ISAM,2025,IEEE International Symposium on Assembly and Manufacturing,,,,,,Qualis 2017-2020,,,,
ISAmI,2025,International Symposium on Ambient Intelligence,,,,,,Qualis 2017-2020,,,,
ISAP,2025,International Conference on Intelligent System Applications to Power Systems,,,,,,Qualis 2017-2020,,,,
ISAS,2025,International Static Analysis Symposium,,,,,,Qualis 2017-2020,,,,
ISBI,2025,IEEE International Symposium on Biomedical Imaging,,nan,,Top20,CE-CAS|CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,BvOzx47YdqIJ,isbi
ISBRA,2025,International Symposium on Bioinformatics Research and Applications,,nan,,Top10,CE-BioComp,Qualis 2017-2020|SBC CE-2024,,,CYFIxMLpkUsJ,
ISC,2025,International Supercomputing Conference,,International Conference on Information Security|nan,,Top20,CE-ACPAD|CE-SEG,Qualis 2017-2020|SBC CE-2024,,,Vnq3DIsft2YJ,isw
ISC2,2025,IEEE International Smart Cities Conference,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,yFTutsygf2gJ,isc2
ISCA,2025,International Symposium on Computer Architecture,,nan,,Top10,CE-ACPAD,Qualis 2017-2020|SBC CE-2024,,,-RiAttlQ-g0J,isca
ISCAS,2025,IEEE International Symposium on Circuits and Systems,,nan,,Top10,CE-ACPAD|CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,V91jHpOGqs0J,iscas
ISCC,2025,International Symposium on Computers and Communications,,IEEE Symposium on Computers and Communications|nan,,Top20,CE-ACPAD|CE-ESC|CE-RESD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,0jK8bHjCH68J,iscc
ISCIS,2025,International Symposium on Computer and Information Sciences,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,,iscis
ISCO,2025,International Symposium on Combinatorial Optimization,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,_nw1GAGIGkEJ,isco
ISCRAM,2025,International Conference on Information Systems for Crisis Response and Management,,Information Systems for Crisis Response and Management|nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,jpqK-S5bXocJ,iscram
ISD,2025,International Conference on Information Systems Development,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,IXwBVJe3Y30J,isdevel
ISDA,2025,International Conference on Intelligent Systems Design and Applications,,nan,,Top20,CE-CAS,Qualis 2017-2020|SBC CE-2024,,,vtykNI3af7IJ,isda
ISEA,2025,International Symposium on Electronic Arts,,International Symposium on Electronic /Emerging Art|nan,,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,,
ISeC,2025,International Conference on Information Security,,,,,,Qualis 2017-2020,,,,
ISECON,2025,Information Systems Education Conference,,nan,,Recommended,CE-IE,Qualis 2017-2020|SBC CE-2024,,,,
ISER,2025,International Symposium on Experimental Robotics,,,,,,Qualis 2017-2020,,,,
ISGT,2025,IEEE PES Innovative Smart Grid Technologies,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,9nASlar3rTYJ,isgt
ISGT-Europe,2025,IEEE PES Innovative Smart Grid Technologies Conference Europe,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,clIpBqTfgOsJ,isgteurope
ISGT-LA,2025,IEEE PES Innovative Smart Grid Technologies Latin America,,,,,,Qualis 2017-2020,,,,
ISI,2025,IEEE International Conference on Intelligence and Security Informatics,,,,,,Qualis 2017-2020,,,,
ISIE,2025,IEEE International Symposium on Industrial Electronics,,nan,,Recommended,CE-ESC|CE-R,Qualis 2017-2020|SBC CE-2024,,,nvZjR0BHub4J,isie
ISLPED,2025,International Symposium on Low Power Electronics and Design,,ACM/IEEE International Symposium on Low Power Electronics and Design|nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,NoKVsOmGgEMJ,islped
ISM,2025,IEEE International Symposium on Multimedia,,nan,,Top10,CE-BD|CE-CM|CE-GRAPI|CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,np9OvZCkWLIJ,ism
ISMAR,2025,IEEE International Symposium on Mixed and Augmented Reality,,International Symposium on Mixed and Augmented Reality|nan,,Top10,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,saKKhfQeF-MJ,ismar
ISMB/ECCB,2025,Intelligent Systems for Molecular Biology / European Conference on Computational Biology,,nan,,Top20,CE-BioComp,Qualis 2017-2020|SBC CE-2024,,,,
ISMCR,2025,International Symposium on Measurement and Control in Robotics,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,,
ISMEM,2025,International Symposium on Memory Management,,,,,,Qualis 2017-2020,,,,
ISMIR,2025,International Society for Music Information Retrieval Conference,,nan,,Top10,CE-CM,Qualis 2017-2020|SBC CE-2024,,,,
ISMIS,2025,International Symposium on Methodologies for Intelligent Systems,,,,,,Qualis 2017-2020,,,,
ISMM,2025,International Symposium on Mathematical Morphology,,International Symposium on Memory Management|nan,,Top20,CE-LP,Qualis 2017-2020|SBC CE-2024,,,gOjRemocSxMJ,iwmm
ISMR,2025,International Symposium on Medical Robotics,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,,
ISMSI,2025,"International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence",,,,,,Qualis 2017-2020,,,,
ISMVL,2025,IEEE International Symposium on Multiple-Valued Logic,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,K6125zrCIPYJ,ismvl
ISNN,2025,International Symposium on Neural Networks,,,,,,Qualis 2017-2020,,,,
ISOLA,2025,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",,nan,,Top20,CE-MF,Qualis 2017-2020|SBC CE-2024,,,wOH94ungceEJ,
ISORC,2025,IEEE International Symposium on RealTime Distributed Computing,,International Symposium on Object-Oriented Real-Time Distributed Computing,,Top20,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,BsXPy-a3od0J,isorc
ISPASS,2025,IEEE International Symposium on Performance Analysis of Systems and Software,,,,,,Qualis 2017-2020,,,,
ISPD,2025,ACM International Symposium on Physical Design,,International Symposium on Physical Design|nan,,Top10,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,qcCDTf9GIAMJ,ispd
ISPDC,2025,International Symposium on Parallel and Distributed Computing,,nan,,Recommended,CE-ACPAD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,BZK2l1JW2UsJ,ispdc
ISQED,2025,International Symposium on Quality Electronic Design,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,CAKBHPJLxuMJ,isqed
ISR,2025,IEEE International Conference on Intelligence and Safety for Robotics,,,,,,Qualis 2017-2020,,,,
ISRR,2025,International Symposium on Robotics Research,,,,,,Qualis 2017-2020,,,,
ISS,2025,ACM International Conference on Interactive Surfaces and Spaces,,ACM Interactive Surfaces and Spaces|nan,,Top20,CE-RV,Qualis 2017-2020|SBC CE-2024,,,js1p_d4DBXkJ,tabletop
ISSA,2025,Information Security for South Africa,,nan,,Recommended,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,mjGhRMqAqs8J,issa
ISSCC,2025,IEEE International Solid-State Circuits Conference,,,,,,Qualis 2017-2020,,,,
ISSI,2025,International Society of Scientometrics and Informetrics Conference,,,,,,Qualis 2017-2020,,,,
ISSRE,2025,IEEE International Symposium on Software Reliability Engineering,,International Symposium on Software Reliability Engineering|nan,,Top10,CE-ES|CE-TF,Qualis 2017-2020|SBC CE-2024,,,xJhIFxijeG8J,issre
ISSREW,2025,IEEE International Symposium on Software Reliability Engineering Workshops,,,,,,Qualis 2017-2020,,,,
ISSTA,2025,International Symposium on Software Testing and Analysis,,nan,,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,llVusf8drOoJ,issta
ISTAR,2025,International i*Workshop,,istar,,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,,istar
ISVC,2025,International Symposium on Visual Computing,,nan,,Recommended,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,gkPBkimMWRYJ,isvc
ISVLSI,2025,IEEE Computer Society Annual Symposium on VLSI,,nan,,Top10,CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,YnM0PRNMjrsJ,isvlsi
ISW,2025,Information Security Conference,,,,,,Qualis 2017-2020,,,,
ISWC,2025,International Semantic Web Conference,,IEEE International Symposium on Wearable Computers|nan,,Recommended,CE-BD|CE-IA|CE-RV,Qualis 2017-2020|SBC CE-2024,,,AETH84_wOIQJ,semweb
ISWCS,2025,International Symposium on Wireless Communication Systems,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,bKvDXIhWqbQJ,iswcs
ITC,2025,International Test Conference,,,,,,Qualis 2017-2020,,,,
ITCS,2025,Conference on Innovations in Theoretical Computer Science,,nan,,Top10,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,YFgbcWcmuG4J,itcs
ITDRR,2025,Information Technology in Disaster Risk Reduction,,,,,,Qualis 2017-2020,,,,
ITHET,2025,International Conference on Information Technology Based Higher Education and Training,,,,,,Qualis 2017-2020,,,,
ITICSE,2025,Conference on Innovation and Technology in Computer Science Education,,ACM Conference on Innovation and Technology in Computer Science Education|ITiCSE - Conference on Innovation and Technology in Computer Science Education|Joint Conference on Innovation and Technology in Computer Science Education|nan,,Top10,CE-EDUCOMP|CE-IE|CE-RV,Qualis 2017-2020|SBC CE-2024,,,68UDAZLIQo8J,iticse
ITNG,2025,International Conference on Information Technology : New Generations,,International Conference on Information Technology - New Generations|nan,,Top20,CE-SI,Qualis 2017-2020|SBC CE-2024,,,n4KqZc83JT0J,itng
ITP,2025,International Conference on Interactive Theorem Proving,,nan,,Top20,CE-MF,Qualis 2017-2020|SBC CE-2024,,,dC3V1ZRAEU4J,
ITS,2025,International Conference on Intelligent Tutoring Systems,,ACM International Conference on Interactive Tabletops and Surfaces|International Intelligent Tutoring Systems Conference|nan,,Top20,CE-IA|CE-IE|CE-IHC,Qualis 2017-2020|SBC CE-2024,,,pjzAYQWqW2kJ,its
ITSC,2025,IEEE International Conference on Intelligent Transportation Systems,,IEEE ITSC Intelligent Transportation Systems Conference|IEEE Intelligence Transportation Systems Conference|IEEE Intelligent Transportation Systems Conference|nan,,Recommended,CE-BD|CE-GRAPI|CE-RESD,Qualis 2017-2020|SBC CE-2024,,,F_tKvHBbkU8J,itsc
ITSS,2025,Interactive Tabletops and Surfaces,,,,,,Qualis 2017-2020,,,,
IUI,2025,International Conference on Intelligent User Interfaces,,nan,,Top10,CE-IA|CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,-_BzfdwqRVsJ,iui
IV,2025,International Conference on Information Visualization,,International Conference on Information Visualisation|nan,,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,vRWGetFmuFkJ,iv
IVA,2025,International Conference on Intelligent Virtual Agents,,ACM INTERNATIONAL CONFERENCE ON INTELLIGENT VIRTUAL AGENTS|Intelligent Virtual Agents|nan,,Top10,CE-GRAPI|CE-IHC|CE-JOGOS,Qualis 2017-2020|SBC CE-2024,,,Zy6oN9uVoooJ,iva
IVAPP,2025,International Conference on Information Visualization Theory and Applications,,nan,,Recommended,CE-RV,Qualis 2017-2020|SBC CE-2024,,,,ivapp
IWANN,2025,International Work-Conference on Artificial Neural Networks,,,,,,Qualis 2017-2020,,,,
IWBBIO,2025,International Work-Conference on Bioinformatics and Biomedical Engineering,,nan,,Top10,CE-BioComp,Qualis 2017-2020|SBC CE-2024,,,T4IEJzWRVqIJ,
IWBF,2025,International Workshop on Biometrics and Forensics,,,,,,Qualis 2017-2020,,,,
IWCMC,2025,International Wireless Communications and Mobile Computing Conference,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,VmAg1pGpY18J,iwcmc
IWCS,2025,International Workshop on Computational Semantics,,nan,,Recommended,CE-PLN,Qualis 2017-2020|SBC CE-2024,,,,iwcs
IWCTS,2025,International Workshop on Computational Transportation Science,,nan,,Recommended,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,
IWGS,2025,ACM Workshop on GeoStreaming,,,,,,Qualis 2017-2020,,,,
IWOCA,2025,International Workshop on Combinatorial Algorithms,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,aEFAi4RU6TEJ,iwoca
IWOMP,2025,International Workshop on OpenMP,,,,,,Qualis 2017-2020,,,,
IWS,2025,Iberchip Workshop,,,,,,Qualis 2017-2020,,,,
IWSECO,2025,International Workshop on Software Ecosystems,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,,iwseco
IWSSIP,2025,"International Conference on Systems, Signals and Image Processing",,nan,,Top20,CE-CAS|CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,GsvS_jxfxCoJ,iwssip
jAUTI,2025,Iberoamerican Conference on Applications and Usability of Interactive TV,,,,,,Qualis 2017-2020,,,,
JCDL,2025,ACM/IEEE Joint Conference on Digital Libraries,,,,,,Qualis 2017-2020,,,,
JCSG,2025,Joint International Conference on Serious Games,,,,,,Qualis 2017-2020,,,,
JSSPP,2025,Workshop on Job Scheduling Strategies for Parallel Processing,,,,,,Qualis 2017-2020,,,,
JURIX,2025,International Conference on Legal Knowledge and Information Systems,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,hTnzOl0B1DQJ,jurix
