cs_id,name,acronym,version,created_at,updated_at
900048,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,AIM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900049,Conference on Artificial Intelligence in Medicine,AIME,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900050,Advances in Modal Logic,AIML,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900051,"International Conference on Autonomous Infrastructure, Management and Security",AIMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900052,IEEE International Conference on Advanced Information Networking and Applications,AINA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900053,IEEE International Conference on Advanced Information Networking and Applications Workshops,AINAW,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900054,Applied Imagery Pattern Recognition Workshop,AIPR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900055,International Conference on Artificial Intelligence and Statistics,AISTATS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900056,IEEE International Conference On Artificial Intelligence Testing,AITest,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900057,Conference on Advanced Information Technologies for Management,AITM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900058,International Conference on Algorithms for Computational Biology,AlCoB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900059,SIAM Symposium on Algorithm Engineering and Experiments,ALENEX,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900060,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,ALIO/EURO,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900061,"Allerton Conference on Communication, Control, and Computing",ALLERTON,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900062,Americas Conference on Information Systems,AMCIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900063,Workshop on Analysis of Movement Data,AMD,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900064,Annual Symposium of the American Medical Informatics Association,AMIA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900065,Alberto Mendelzon International Workshop on Foundations of Data Management,AMW,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900066,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ANCS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900067,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,ANPPOM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900068,Annual Simulation Symposium,ANSS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900069,"International Conference on Ambient Systems, Networks and Technologies",ANT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900070,IEEE International Conference on Advanced Networks and Telecommuncations Systems,ANTS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900071,IEEE Asia Pacific Conference on Circuits and Systems,APCCAS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900072,ACM on ASIA Public-Key Cryptography Workshop,APKC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900073,Asian Symposium on Programming Languages and Systems,APLAS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900074,Asia-Pacific Network Operations and Management Symposium,APNOMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900075,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,APPROX-RANDOM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900076,Asia-Pacific Web Conference,APWEB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900077,International Symposium on Applied Reconfigurable Computing,ARC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900078,International Conference on Architecture of Computing Systems,ARCS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900079,"International Conference on Availability, Reliability and Security",ARES,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900080,International Workshop on Intelligent and Resilient Cities,ARIC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900081,Workshop on Adaptive and Reflective Middleware,ARM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900082,IEEE Workshop on Advanced Robotics and its Social Impacts,ARSO,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900083,"IEEE International Conference on Application-specific Systems, Architectures and Processors",ASAP,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900084,IEEE/ACM International Conference on Automated Software Engineering,ASE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900085,"ACM ASIA Symposium on Information, Computer and Communications Security",ASIACCS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900086,Annual International Conference on the Theory and Applications of Cryptology and Information Security,ASIACRYPT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900087,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",ASID,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900088,Advanced Satellite Multimedia Systems Conference,ASMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900089,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900090,Asia and South Pacific Design Automation Conference,ASP-DAC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900091,International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900092,Annual Conference and International Lidar Mapping Forum,ASPRS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900093,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900094,IEEE/ACM International Workshop on Automation of Software Testing,AST,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900095,Australasian Software Engineering Conference,ASWEC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900096,IEEE International Symposium on Asynchronous Circuits and Systems,ASYNC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900097,USENIX Annual Technical Conference,ATC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900098,International Conference on Agreement Technologies,Atech,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900099,Asian Test Symposium,ATS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900100,International Workshop on Agents in Traffic and Transportation,ATT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900101,Audio Mostly Conference,AUDIOMOSTLY,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900102,Australasian Data Mining Conference,AusDM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900103,International Working Conference on Advanced Visual Interfaces,AVI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900104,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900105,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",BCB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900106,Conference of the British Computer Society Human Computer Interaction Specialist Group,BCS-HCI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900107,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900108,International Conference on Big Data and Cloud Computing,BDCLOUD,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900109,"International Symposium on Benchmarking, Measuring and Optimization",BENCH,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900110,"International Conference on Behavior, Economic and Social Computing",BESC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900111,Bioinformatics: from Algorithms to Applications,BIATA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900112,IEEE International Conference on BioInformatics and BioEngineering,BIBE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900113,IEEE International Conference on Bioinformatics and Biomedicine,BIBM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900114,EAI International Conference on Bio-inspired Information an Communications Technologies,BICT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900115,IEEE International Conference on Big Data,BIGDATA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900116,IEEE International Conference On Big Data Science And Engineering,BigDataSE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900117,IEEE International Conference on Big Data Computing Service and Applications,BIGDATASERVICE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900118,IEEE/ACM International Workshop on Big Data Software Engineering,BIGDSE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900119,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,BigSpatial,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900120,International Conference on Bioinformatics & Computational Biology,BioCOMP-WC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900121,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,BioRob,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900122,World Congress on Biosensors,BIOSENSORS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900123,International Conference on Business Information Systems,BIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900124,IEEE International Black Sea Conference on Communications and Networking,BLACKSEACOM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900125,IEEE International Conference on Blockchain,BLOCKCHAIN,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900126,International Conference BioMedical Engineering and Informatics,BMEI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900127,British Machine Vision Conference,BMVC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900128,International Conference on Business Process Management,BPM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900129,Workshop on Social and Human Aspects of Business Process Management,BPMS2,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900130,Brazilian Conference on Intelligent Systems,BRACIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900131,Brazilian Humanoid Robot Workshop,BRAHUR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900132,"Blockchain, Robotics and AI for Networking Security Conference",BRAINS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900133,Brazilian Workshop on Service Robotics,BRASERO,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900134,Brazilian Workshop on Social Network Analysis and Mining,BRASNAM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900135,Brazilian e-Science Workshop,BRESCI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900136,Brazilian Symposium on Bioinformatics,BSB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900137,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,BSN,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900138,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",BTAS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900139,International Conference on Communities and Technologies,C&T,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900140,"International Workshop on Cloud for Business, Industry and Enterprises",C4BIE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900141,International CAD Conference,CAD,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900142,International Conference on Automated Deduction,CADE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900143,International Conference on Computer Analysis of Images and Patterns,CAIP,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900144,International Conference on Advanced Information Systems Engineering,CAISE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900145,International Conference on Algorithms and Discrete Applied Mathematics,CALDAM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900146,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,CAMAD,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900147,International Symposium on Computing and Networking,CANDAR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900148,International Conference on Cryptology and Network Security,CANS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900149,Conferência da Associação Portuguesa de Sistemas de Informação,CAPSI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900150,Latin America High Performance Computing Conference,CARLA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900151,Conference on Computer Animation and Social Agents,CASA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900152,Annual International Conference on Computer Science and Software Engineering,CASCON,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900153,IEEE Conference on Automation Science and Engineering,CASE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900154,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900155,International Conference on Computers and their Applications,CATA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900156,Computers and Advanced Technology in Education,CATE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900157,International Conference on Computer Aided Verification,CAV,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900158,Congresso Brasileiro de Automática,CBA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900159,Congresso Brasileiro de Engenharia Biomédica,CBEB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900160,IEEE Conference on Business Informatics,CBI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900161,Congresso Brasileiro de Inteligência Computacional,CBIC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900162,Congresso Brasileiro de Informática em Saúde,CBIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900163,International Workshop on Content-Based Multimedia Indexing,CBMI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900164,International Symposium on Computer-Based Medical Systems,CBMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900165,IEEE International Conference on Cyborg and Bionic Systems,CBS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900166,Congresso Brasileiro de Sistemas Fuzzy,CBSF,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900167,Brazilian Conference on Software: Theory and Practice,CBSoft,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900168,Congresso Brasileiro de Telemedicina e Telesaúde,CBTMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900169,International Conference on Compiler Construction,CC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900170,IEEE Conference on Computational Complexity,CCC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900171,Canadian Conference on Computational Geometry,CCCG,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900172,Canadian Conference on Electrical and Computer Engineering,CCECE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900173,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",CCGRID,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900174,Annual IEEE Consumer Communications & Networking Conference,CCNC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900175,ACM Symposium on Computer and Communications Security,CCS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900176,Workshop on Core Computations on Spatial Information,CCSI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900177,IEEE Conference on Decision and Control,CDC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900178,International Conference on Digital Health,CDH,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900179,"International Conference on Cooperative Design, Visualization, and Engineering",CDVE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900180,IEEE Congress on Evolutionary Computation,CEC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900181,Central European Cybersecurity Conference,CECC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900182,Cognition and Exploratory Learning in Digital Age,CELDA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900183,Conference on ENTERprise Information Systems,CENTERIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900184,International Workshop on Conducting Empirical Studies in Industry,CESI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900185,ACM International Conference on Computing Frontiers,CF,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900186,Computer Graphics International Conference,CGI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900187,International Symposium on Code Generation and Optimization,CGO,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900188,International Workshop on Cooperative and Human Aspects of Software Engineering,CHASE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900189,Conference on Cryptographic Hardware and Embedded Systems,CHES,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900190,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,CHI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900191,Conference on Human Information Interaction and Retrieval,CHIIR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900192,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,CHIPlay,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900193,International Conference on Algorithms and Complexity,CIAC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900194,Iberoamerican Congress on Pattern Recognition,CIARP,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900195,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900196,Conferencia Iberoamericana de Software Engineering,CIbSE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900197,International Conference on Collaboration and Internet Computing,CIC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900198,IEEE Custom Integrated Circuits Conference,CICC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900199,International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900200,Congresso Internacional de Design da Informação,CIDI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900201,Symposium on Computational Intelligence and Data Mining,CIDM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900202,Biennial Conference on Innovative Data Systems Research,CIDR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900203,IEEE Conference on Computational Intelligence and Games,CIG,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900204,ACM International Conference on Information and Knowledge Management,CIKM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900205,Iberian Latin American Congress on Computational Methods,CILAMCE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900206,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",CISCI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900207,"International Conference on Complex, Intelligent, and Software Intensive Systems",CISIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900208,Iberian Conference on Information Systems and Technologies,CISTI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900209,IEEE International Conference on Computer and Information Technology,CIT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900210,"International Conference on Computer, Information, and Telecommunication Systems",CITS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900211,Corpus Linguistics Conference,CL,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900212,Latin-Ibero-American Conference on Operations Research,CLAIO,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900213,Conference and Labs of the Evaluation Forum,CLEF,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900214,Conferencia Latinoamericana de Informática,CLEI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900215,Latin American Conference on Human Computer Interaction,CLIHC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900216,International Conference on Cloud Computing and Services Science,CLOSER,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900217,IEEE International Conference on Cloud Computing,CLOUD,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900218,IEEE International Conference on Cloud Computing Technology and Science,CloudCom,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900219,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",CLOUDCOMPUTING-IARIA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900220,IEEE International workshop on Cloud data management,CLOUDDB,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900221,IEEE International Conference on Cloud Networking,CloudNet,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
