comp_id,sigla,nome,siglas_alt,nomes_alt,origem,avaliacao,gs_id,dblp_id,sociedade,ano_dados
CompID900016,ACII,International Conference on Affective Computing and Intelligent Interaction,ACII,Affective Computing and Intelligent Interaction|International Conference on Affective Computing and Intelligent Interaction,Qualis 2017-2020|SBC CE-2024,Recommended,n8TWwN8Kc5cJ.2024,acii,,2025.0
CompID900017,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,Qualis 2017-2020|SBC CE-2024,Recommended,dQMJcSWIFtgJ.2020,,,2025.0
CompID900018,ACISP,Australasian Conference on Information Security and Privacy,ACISP,Australasian Conference on Information Security and Privacy,Qualis 2017-2020|SBC CE-2024,Recommended,o0S2wIvNbXEJ.2024,acisp,,2025.0
CompID900019,ACIVS,Advanced Concepts for Intelligent Vision Systems,ACIVS,Advanced Concepts for Intelligent Vision Systems,Qualis 2017-2020|SBC CE-2024,Recommended,,acivs,,2025.0
CompID900020,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,Annual Meeting of the Association for Computational Linguistics,Qualis 2017-2020|SBC CE-2024,Top10,Y3UjV9bSCxMJ.2024,acl,,2025.0
CompID900021,ACM CC,Creativity & Cognition,ACM CC,Creativity & Cognition,Qualis 2017-2020|SBC CE-2024,Recommended,fckQPrz_q_gJ.2024,candc,,2025.0
CompID900022,ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,Qualis 2017-2020|SBC CE-2024,Top20,WNLxUj5tg3gJ.2024,chiplay,,2025.0
CompID900023,ACM IMX,ACM International Conference on Interactive Media Experiences,ACM IMX,ACM International Conference on Interactive Media Experiences,Qualis 2017-2020|SBC CE-2024,Top10,DSB1DhJ431MJ.2024,tvx,,2025.0
CompID900024,ACMIDC,ACM Internacional Conference on Interaction Design and Children,,,Qualis 2017-2020,,,,,2025.0
CompID900025,ACMMM,ACM International Conference on Multimedia,,,Qualis 2017-2020,,,,,2025.0
CompID900026,ACMSOCC,ACM Symposium on Cloud Computing,ACMSOCC,ACM Symposium on Cloud Computing,Qualis 2017-2020|SBC CE-2024,Recommended,o1durVJyeP4J.2023,cloud,,2025.0
CompID900027,ACNS,Applied Cryptography and Network Security,ACNS,Applied Cryptography and Network Security,Qualis 2017-2020|SBC CE-2024,Top20,uX6tRrNG0lQJ.2024,acns,,2025.0
CompID900028,ACRA,Australasian Conference on Robotics and Automation,ACRA,Australasian Conference on Robotics and Automation,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900029,ACSAC,Computer Security Applications Conference,ACSAC,Computer Security Applications Conference,Qualis 2017-2020|SBC CE-2024,Top20,88oopSfS28MJ.2024,acsac,,2025.0
CompID900030,ADBIS,East European Conference on Advances in Databases and Information Systems,ADBIS,Advances in Databases and Information Systems|East European Conference on Advances in Databases and Information Systems|European Conference on Advances in Databases and Information Systems,Qualis 2017-2020|SBC CE-2024,Top20,pEYfHFCSslcJ.2024,adbis,,2025.0
CompID900031,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,Qualis 2017-2020|SBC CE-2024,Recommended,,adhoc-now,,2025.0
CompID900032,ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,Qualis 2017-2020,,,,,2025.0
CompID900033,ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,,,Qualis 2017-2020,,,,,2025.0
CompID900034,AES,International Convention of the Audio Engineering Society,AES,International Convention of the Audio Engineering Society,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900035,AES-ICSA,AES International Conference on Semantic Audio,AES-ICSA,AES International Conference on Semantic Audio,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900036,AFRICACRYPT,International Conference on Cryptology in Africa,,,Qualis 2017-2020,,,,,2025.0
CompID900037,AGILEGIS,Conference on Geographic Information Science,,,Qualis 2017-2020,,,,,2025.0
CompID900038,AH,Augmented Human International Conference,AH,Augmented Human International Conference,Qualis 2017-2020|SBC CE-2024,Top10,HqiGvACsawYJ.2024,aughuman,,2025.0
CompID900039,AHS,NASA/ESA Conference on Adaptive Hardware and Systems,,,Qualis 2017-2020,,,,,2025.0
CompID900040,AI,Canadian Conference on Artificial Intelligence,,,Qualis 2017-2020,,,,,2025.0
CompID900041,AIC,International Workshop on Artificial Intelligence and Cognition,,,Qualis 2017-2020,,,,,2025.0
CompID900042,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,,,Qualis 2017-2020,,,,,2025.0
CompID900043,AICT,International Conference on Application of Information and Communication Technologies,AICT,International Conference on Application of Information and Communication Technologies,Qualis 2017-2020|SBC CE-2024,Recommended,lyn0_4ToR5cJ.2024,aict,,2025.0
CompID900044,AICT-IARIA,IARIA Advanced International Conference on Telecommunications,,,Qualis 2017-2020,,,,,2025.0
CompID900045,AIED,International Conference on Artificial Intelligence in Education,AIED,Artificial Intelligence in Education|Artificial Intelligence in Education Conference|International Conference on Artificial Intelligence in Education,Qualis 2017-2020|SBC CE-2024,Top10,l2Fh9zgyJ3sJ.2024,aied,,2025.0
CompID900046,AIES,"AAAI/ACM Conference on AI, Ethics, and Society",,,Qualis 2017-2020,,,,,2025.0
CompID900047,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment|AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment ,Qualis 2017-2020|SBC CE-2024,Top10,,aiide,,2025.0
CompID900048,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,Qualis 2017-2020|SBC CE-2024,Recommended,vvYv-MYYfD0J.2020,,,2025.0
CompID900049,AIME,Conference on Artificial Intelligence in Medicine,AIME,Artificial Intelligence in Medicine|Conference on Artificial Intelligence in Medicine,Qualis 2017-2020|SBC CE-2024,Top20,G4epD5rVtawJ.2024,aime,,2025.0
CompID900050,AIML,Advances in Modal Logic,AIML,Advances in Modal Logic,Qualis 2017-2020|SBC CE-2024,Top20,,aiml,,2025.0
CompID900051,AIMS,"International Conference on Autonomous Infrastructure, Management and Security",,,Qualis 2017-2020,,,,,2025.0
CompID900052,AINA,IEEE International Conference on Advanced Information Networking and Applications,AINA,IEEE International Conference on Advanced Information Networking and Applications,Qualis 2017-2020|SBC CE-2024,Recommended,FBp6ksxIdQYJ.2024,aina,,2025.0
CompID900053,AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,Qualis 2017-2020,,,,,2025.0
CompID900054,AIPR,Applied Imagery Pattern Recognition Workshop,,,Qualis 2017-2020,,,,,2025.0
CompID900055,AISTATS,International Conference on Artificial Intelligence and Statistics,AISTATS,International Conference on Artificial Intelligence and Statistics,Qualis 2017-2020|SBC CE-2024,Top20,PhcE9OLs0MUJ.2024,aistats,,2025.0
CompID900056,AITest,IEEE International Conference On Artificial Intelligence Testing,,,Qualis 2017-2020,,,,,2025.0
CompID900057,AITM,Conference on Advanced Information Technologies for Management,,,Qualis 2017-2020,,,,,2025.0
CompID900058,AlCoB,International Conference on Algorithms for Computational Biology,AlCoB,International Conference on Algorithms for Computational Biology,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900059,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,Qualis 2017-2020|SBC CE-2024,Recommended,,alenex,,2025.0
CompID900060,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900061,ALLERTON,"Allerton Conference on Communication, Control, and Computing",ALLERTON,"Allerton Conference on Communication, Control, and Computing",Qualis 2017-2020|SBC CE-2024,Recommended,HbOjoTJcHB8J.2023,allerton,,2025.0
CompID900062,AMCIS,Americas Conference on Information Systems,AMCIS,Americas Conference on Information Systems,Qualis 2017-2020|SBC CE-2024,Top10,Z7jeczV8wooJ.2024,amcis,,2025.0
CompID900063,AMD,Workshop on Analysis of Movement Data,AMD,Workshop on Analysis of Movement Data,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900064,AMIA,Annual Symposium of the American Medical Informatics Association,AMIA,AMIA Symposium|American Medical Informatics Association Annual Symposium,Qualis 2017-2020|SBC CE-2024,Top10,MtRw20mokCYJ.2024,amia,,2025.0
CompID900065,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,Qualis 2017-2020|SBC CE-2024,Recommended,,amw,,2025.0
CompID900066,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,Qualis 2017-2020|SBC CE-2024,Recommended,,ancs,,2025.0
CompID900067,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900068,ANSS,Annual Simulation Symposium,,,Qualis 2017-2020,,,,,2025.0
CompID900069,ANT,"International Conference on Ambient Systems, Networks and Technologies",,,Qualis 2017-2020,,,,,2025.0
CompID900070,ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,Qualis 2017-2020,,,,,2025.0
CompID900071,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,Qualis 2017-2020|SBC CE-2024,Recommended,iPNrzhpu_IoJ.2024,apccas,,2025.0
CompID900072,APKC,ACM on ASIA Public-Key Cryptography Workshop,,,Qualis 2017-2020,,,,,2025.0
CompID900073,APLAS,Asian Symposium on Programming Languages and Systems,APLAS,Asian Symposium on Programming Languages and Systems,Qualis 2017-2020|SBC CE-2024,Recommended,dHznF5bq130J.2022,aplas,,2025.0
CompID900074,APNOMS,Asia-Pacific Network Operations and Management Symposium,APNOMS,Asia-Pacific Network Operations and Management Symposium,Qualis 2017-2020|SBC CE-2024,Recommended,,apnoms,,2025.0
CompID900075,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,Qualis 2017-2020|SBC CE-2024,Top20,M9oM2PGejDoJ.2024,random,,2025.0
CompID900076,APWEB,Asia-Pacific Web Conference,APWEB,Asia-Pacific Web Conference,Qualis 2017-2020|SBC CE-2024,Recommended,,apweb,,2025.0
CompID900077,ARC,International Symposium on Applied Reconfigurable Computing,ARC,Applied Reconfigurable Computing|International Symposium on Applied Reconfigurable Computing,Qualis 2017-2020|SBC CE-2024,Recommended,YfOo-Q2IJm8J.2024,arc,,2025.0
CompID900078,ARCS,International Conference on Architecture of Computing Systems,ARCS,International Conference on Architecture of Computing Systems,Qualis 2017-2020|SBC CE-2024,Recommended,0iDRKaj8G38J.2024,arcs,,2025.0
CompID900079,ARES,"International Conference on Availability, Reliability and Security",ARES,"International Conference on Availability, Reliability and Security",Qualis 2017-2020|SBC CE-2024,Top20,GIrj2BSjfiwJ.2024,IEEEares,,2025.0
CompID900080,ARIC,International Workshop on Intelligent and Resilient Cities,ARIC,International Workshop on Intelligent and Resilient Cities,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900081,ARM,Workshop on Adaptive and Reflective Middleware,,,Qualis 2017-2020,,,,,2025.0
CompID900082,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),Qualis 2017-2020|SBC CE-2024,Recommended,MHGPX0ifa6MJ.2020,,,2025.0
CompID900083,ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",Qualis 2017-2020|SBC CE-2024,Recommended,8awDgn_OhGYJ.2024,asap,,2025.0
CompID900084,ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,IEEE/ACM International Conference on Automated Software Engineering|IEEE/ACM International Conference on Automated Software Engineering (ASE),Qualis 2017-2020|SBC CE-2024,Top10,0NzweKVXmpkJ.2024,kbse,,2025.0
CompID900085,ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security|ACM Symposium on Information, Computer and Communications Security",Qualis 2017-2020|SBC CE-2024,Top10,3VLtGPwkq54J.2024,asiaccs,,2025.0
CompID900086,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security|International Conference on The Theory and Application of Cryptology and Information Security,Qualis 2017-2020|SBC CE-2024,Top10,hxrvQsnJSDMJ.2024,asiacrypt,,2025.0
CompID900087,ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",Qualis 2017-2020|SBC CE-2024,Recommended,G0FddLwZFDcJ.2024,,,2025.0
CompID900088,ASMS,Advanced Satellite Multimedia Systems Conference,ASMS,Advanced Satellite Multimedia Systems Conference,Qualis 2017-2020|SBC CE-2024,Recommended,O90WS0zZyBYJ.2019,asms-spsc,,2025.0
CompID900089,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,"IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining,",Qualis 2017-2020|SBC CE-2024,Recommended,71Q5CJZj-VYJ.2024,asunam,,2025.0
CompID900090,ASP-DAC,Asia and South Pacific Design Automation Conference,ASP-DAC,Asia and South Pacific Design Automation Conference|Asia and South Pacific Design Automation Conference ,Qualis 2017-2020|SBC CE-2024,Top10,4OI7pMNBopQJ.2024,aspdac,,2025.0
CompID900091,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,Qualis 2017-2020|SBC CE-2024,Top10,KlkFB9T8yJEJ.2024,asplos,,2025.0
CompID900092,ASPRS,Annual Conference and International Lidar Mapping Forum,ASPRS,Annual Conference and International Lidar Mapping Forum,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900093,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS|Assets,International ACM Conference on Assistive Technologies|International ACM Conference on Assistive Technologies (Assets)|International ACM SIGACCESS Conference on Computers and Accessibility|International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),Qualis 2017-2020|SBC CE-2024,Top10,c5bgEi18VesJ.2024,assets,,2025.0
CompID900094,AST,IEEE/ACM International Workshop on Automation of Software Testing,AST,IEEE/ACM International Workshop on Automation of Software Testing,Qualis 2017-2020|SBC CE-2024,Recommended,,ast,,2025.0
CompID900095,ASWEC,Australasian Software Engineering Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900096,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems|International Symposium on Asynchronous Circuits and Systems|Symposium on Asynchronous Circuits and Systems,Qualis 2017-2020|SBC CE-2024,Top20,,async,,2025.0
CompID900097,ATC,USENIX Annual Technical Conference,ATC,USENIX Annual Technical Conference,Qualis 2017-2020|SBC CE-2024,Recommended,UoM6MOnWKE8J.2023,atc,,2025.0
CompID900098,Atech,International Conference on Agreement Technologies,,,Qualis 2017-2020,,,,,2025.0
CompID900099,ATS,Asian Test Symposium,,,Qualis 2017-2020,,,,,2025.0
CompID900100,ATT,International Workshop on Agents in Traffic and Transportation,,,Qualis 2017-2020,,,,,2025.0
CompID900101,AUDIOMOSTLY,Audio Mostly Conference,AUDIOMOSTLY,Audio Mostly Conference,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900102,AusDM,Australasian Data Mining Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900103,AVI,International Working Conference on Advanced Visual Interfaces,AVI,Working Conference on Advanced Visual Interfaces|Working Conference on Advanced Visual Interfaces ,Qualis 2017-2020|SBC CE-2024,Top20,,avi,,2025.0
CompID900104,AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,Qualis 2017-2020|SBC CE-2024,Recommended,lj8GV_9F0b8J.2024,avss,,2025.0
CompID900105,BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",Qualis 2017-2020|SBC CE-2024,Top10,A0r8tJR7iaEJ.2024,bcb,,2025.0
CompID900106,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,Qualis 2017-2020|SBC CE-2024,Recommended,,bcshci,,2025.0
CompID900107,BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,Qualis 2017-2020,,,,,2025.0
CompID900108,BDCLOUD,International Conference on Big Data and Cloud Computing,BDCLOUD,International Conference on Big Data and Cloud Computing,Qualis 2017-2020|SBC CE-2024,Recommended,,bdcloud,,2025.0
CompID900109,BENCH,"International Symposium on Benchmarking, Measuring and Optimization",,,Qualis 2017-2020,,,,,2025.0
CompID900110,BESC,"International Conference on Behavior, Economic and Social Computing",BESC, International Conference on Behavioural and Social Computing,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900111,BIATA,Bioinformatics: from Algorithms to Applications,BIATA,Bioinformatics: from Algorithms to Applications,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900112,BIBE,IEEE International Conference on BioInformatics and BioEngineering,BIBE,IEEE International Conference on Bioinformatics and Bioengineering,Qualis 2017-2020|SBC CE-2024,Top10,2QSZR8tX_koJ.2019,,,2025.0
CompID900113,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,Qualis 2017-2020|SBC CE-2024,Top10,4m3nKpBBPt4J.2019,,,2025.0
CompID900114,BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,,,Qualis 2017-2020,,,,,2025.0
CompID900115,BIGDATA,IEEE International Conference on Big Data,BIGDATA|BigData,IEEE International Conference on Big Data|IEEE International Conference on BigData,Qualis 2017-2020|SBC CE-2024,Recommended,,bigdataconf,,2025.0
CompID900116,BigDataSE,IEEE International Conference On Big Data Science And Engineering,BigDataSE,IEEE International Conference On Big Data Science And Engineering,Qualis 2017-2020|SBC CE-2024,Recommended,,bigdatase,,2025.0
CompID900117,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,Qualis 2017-2020|SBC CE-2024,Recommended,,bigdataservice,,2025.0
CompID900118,BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,,,Qualis 2017-2020,,,,,2025.0
CompID900119,BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,BigSpatial,International Workshop on Analytics for Big Geospatial Data,Qualis 2017-2020|SBC CE-2024,Recommended,,bigspatial-ws,,2025.0
CompID900120,BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,,,Qualis 2017-2020,,,,,2025.0
CompID900121,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,Qualis 2017-2020|SBC CE-2024,Top20,mll7l7Q4NakJ.2020,,,2025.0
CompID900122,BIOSENSORS,World Congress on Biosensors,,,Qualis 2017-2020,,,,,2025.0
CompID900123,BIS,International Conference on Business Information Systems,BIS,BIS: Business Information Systems|International Conference on Business Information Systems,Qualis 2017-2020|SBC CE-2024,Recommended,qAXde7fvX5YJ.2024,bis,,2025.0
CompID900124,BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,,,Qualis 2017-2020,,,,,2025.0
CompID900125,BLOCKCHAIN,IEEE International Conference on Blockchain,BLOCKCHAIN|Blockchain,IEEE International Conference on Blockchain,Qualis 2017-2020|SBC CE-2024,Recommended,DGN3r9u7HNQJ.2023,blockchain2,,2025.0
CompID900126,BMEI,International Conference BioMedical Engineering and Informatics,,,Qualis 2017-2020,,,,,2025.0
CompID900127,BMVC,British Machine Vision Conference,BMVC,British Machine Vision Conference,Qualis 2017-2020|SBC CE-2024,Recommended,T_DfB2ikUbwJ.2024,bmvc,,2025.0
CompID900128,BPM,International Conference on Business Process Management,BPM,International Conference on Business Process Management,Qualis 2017-2020|SBC CE-2024,Top10,0N6unYCR7HoJ.2024,bpm,,2025.0
CompID900129,BPMS2,Workshop on Social and Human Aspects of Business Process Management,BPMS2,Workshop on Social and Human Aspects of Business Process Management,Qualis 2017-2020|SBC CE-2024,Recommended,,bpm,,2025.0
CompID900130,BRACIS,Brazilian Conference on Intelligent Systems,BRACIS,Brazilian Conference on Intelligent Systems,Qualis 2017-2020|SBC CE-2024,Top10,qXwIadFVNCsJ.2024,bracis,,2025.0
CompID900131,BRAHUR,Brazilian Humanoid Robot Workshop,BRAHUR,Brazilian Humanoid Robot Workshop,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900132,BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",,,Qualis 2017-2020,,,,,2025.0
CompID900133,BRASERO,Brazilian Workshop on Service Robotics,BRASERO,Brazilian Workshop on Service Robotics,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900134,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,BRASNAM|BraSNAM,Brazilian Workshop on Social Network Analysis and Mining|Workshop Brasileiro de Análise de Redes Sociais e Mineração|Workshop Brasileiro de Análise de Redes Sociais e Mineração (BraSNAM),Qualis 2017-2020|SBC CE-2024,Top10,uCHdYLLURp0J.2024,,,2025.0
CompID900135,BRESCI,Brazilian e-Science Workshop,BreSci,Brazilian e-Science Workshop,Qualis 2017-2020|SBC CE-2024,Recommended,,,,2025.0
CompID900136,BSB,Brazilian Symposium on Bioinformatics,BSB,Brazilian Symposium on Bioinformatics,Qualis 2017-2020|SBC CE-2024,Top20,,,,2025.0
CompID900137,BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,BSN,IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS|International Conference on Wearable and Implantable Body Sensor Networks|International Workshop on Wearable and Implantable Body Sensor Networks,Qualis 2017-2020|SBC CE-2024,Top20,L-flmcutX4sJ.2024,bsn,,2025.0
CompID900138,BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",BTAS,IEEE International Conference on Biometrics: Theory Applications and Systems,Qualis 2017-2020|SBC CE-2024,Recommended,FetF6O7LEY8J.2024,btas,,2025.0
CompID900139,C&T,International Conference on Communities and Technologies,C&T,International Conference on Communities and Technologies,Qualis 2017-2020|SBC CE-2024,Top10,,,,2025.0
CompID900140,C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",,,Qualis 2017-2020,,,,,2025.0
CompID900141,CAD,International CAD Conference,,,Qualis 2017-2020,,,,,2025.0
CompID900142,CADE,International Conference on Automated Deduction,,,Qualis 2017-2020,,,,,2025.0
CompID900143,CAIP,International Conference on Computer Analysis of Images and Patterns,CAIP,International Conference on Computer Analysis of Images and Patterns,Qualis 2017-2020|SBC CE-2024,Top20,,caip,,2025.0
CompID900144,CAISE,International Conference on Advanced Information Systems Engineering,CAISE|CAiSE,International Conference on Advanced Information Systems Engineering,Qualis 2017-2020|SBC CE-2024,Top10,5PSS5xHm_KwJ.2024,caise,,2025.0
CompID900145,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,Qualis 2017-2020|SBC CE-2024,Recommended,oMZjQ-X5R1EJ.2024,caldam,,2025.0
CompID900146,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,Qualis 2017-2020|SBC CE-2024,Recommended,zsyVgJ0BX8MJ.2023,camad,,2025.0
CompID900147,CANDAR,International Symposium on Computing and Networking,,,Qualis 2017-2020,,,,,2025.0
CompID900148,CANS,International Conference on Cryptology and Network Security,CANS,Cryptology and Network Security|International Conference on Cryptology and Network Security,Qualis 2017-2020|SBC CE-2024,Recommended,q7kWOn3QmqYJ.2024,cans,,2025.0
CompID900149,CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,,,Qualis 2017-2020,,,,,2025.0
CompID900150,CARLA,Latin America High Performance Computing Conference,,,Qualis 2017-2020,,,,,2025.0
