sigla,titulo,h5
EDM,International Conference on Educational Data Mining (EDM),31.0
EDOC,"International IEEE Enterprise Distributed Object Computing Conference, EDOC",19.0
EDUCOMP,Simpósio Brasileiro de Educação em Computação (EDUCOMP),11.0
EGOV,International Conference on Electronic Government,17.0
EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,10.0
EIT,IEEE International Conference on Electro/Information Technology,27.0
EMBS,IEEE EMBS International Conference on Biomedical and Health Informatics,17.0
EMNLP,Conference on Empirical Methods in Natural Language Processing (EMNLP),218.0
ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,9.0
EPIA,Portuguese Conference on Artificial Intelligence (EPIA),11.0
ER,International Conference on Conceptual Modeling,24.0
ESA,European Symposium on Algorithms,22.0
ESOP,European Symposium on Programming (ESOP),24.0
ESSCIRC,European Solid State Circuits Conference (ESSCIRC),19.0
ESSDERC,"European Solid State Device Research Conference, ESSDERC",13.0
ESWC,Extended Semantic Web Conference,31.0
ETC,Encontro de Teoria da Computação (ETC),2.0
ETS,IEEE European Test Symposium (ETS),16.0
EuCNC,European Conference on Networks and Communications,26.0
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",9.0
EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),66.0
EUROHAPTICS,EuroHaptics,11.0
EuroPloP,European Conference on Pattern Languages of Programs,14.0
EuroSPI,Conference on European System & Software Process Improvement and Innovation (EuroSPI),17.0
EUROSYS,ACM European Conference on Computer Systems,52.0
EUSIPCO,European Signal Processing Conference (EUSIPCO),35.0
FC,International Conference on Financial Cryptography and Data Security,50.0
FDG,Foundations of Digital Games,27.0
FiCloud,International Conference on Future Internet of Things and Cloud (FiCloud),11.0
FM,"International Symposium On Leveraging Applications of Formal Methods, Verification and Validation",22.0
FoSSaCS,International Conference on Foundations of Software Science and Computation Structures (FoSSaCS),15.0
FPGA,Symposium on Field Programmable Gate Arrays (FPGA),39.0
FPL,International Conference on Field Programmable Logic and Applications,26.0
FSCD,International Conference on Formal Structures for Computation and Deduction,16.0
FUSION,International Conference on Information Fusion,23.0
FUZZ,IEEE International Conference on Fuzzy Systems (FUZZ),25.0
GECCO,Conference on Genetic and Evolutionary Computation,49.0
GEOINFO,Brazilian Symposium on GeoInformatics,4.0
GI,Graphics Interface Conference,13.0
GIScience,International Conference on Geographic Information Science,11.0
GLSVLSI,Great Lakes Symposium on VLSI,24.0
GRAPP,International Conference on Computer Graphics Theory and Applications (GRAPP),11.0
HEALTHINF,International Conference on Health Informatics (HEALTHINF),18.0
HICSS,Hawaii International Conference on System Sciences,53.0
HIPC,IEEE International Conference on High Performance Computing and Communications,19.0
HOTNETS,ACM Workshop on Hot Topics in Networks,23.0
HPCA,IEEE International Symposium on High Performance Computer Architecture,59.0
HPDC,ACM International Symposium on High Performance Distributed Computing,23.0
HRI,ACM/IEEE International Conference on Human Robot Interaction,52.0
Hypertext,ACM Conference on Hypertext and Hypermedia,21.0
IAS,IEEE Annual Meeting Industry Applications Society,28.0
IC2E,IEEE International Conference on Cloud Engineering,19.0
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",10.0
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),13.0
ICAART,International Conference on Agents and Artificial Intelligence (ICAART),24.0
ICAISC,International Conference on Artificial Intelligence and Soft Computing ICAISC,13.0
ICALP,"International Colloquium on Automata, Languages and Programming (ICALP)",29.0
ICAPS,International Conference on Automated Planning and Scheduling (ICAPS),33.0
ICARM,International Conference on Advanced Robotics and Mechatronics,14.0
ICARSC,IEEE International Conference on Autonomous Robot Systems and Competitions,19.0
ICARV,"International Conference on Control, Automation, Robotics and Vision",16.0
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",137.0
ICB,IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),34.0
ICBC,IEEE International Conference on Blockchain and Cryptocurrency,32.0
ICC,IEEE International Conference on Communications Workshops (ICC Workshops),34.0
ICCAD,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),46.0
ICCC,International Conference on Computational Creativity,21.0
ICCD,"IEEE International Conference on Computer Design, ICCD",23.0
ICCE-EDU,International Conference on Computers in Education,16.0
iCCECE,"International Conference on Computing, Electronics & Communications Engineering",13.0
ICCHP,International Conference on Computers Helping People with Special Needs,15.0
ICCL2,International Conference on Computational Logistics,12.0
ICCPR,International Conference on Computing and Pattern Recognition,9.0
ICCSA,International Conference on Computational Science and Its Applications,31.0
ICCSPA,"International Conference on Communications, Signal Processing, and their Applications",13.0
ICCVW,IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),63.0
ICDAR,International Conference on Document Analysis and Recognition,30.0
ICDCS,"International Conference on Distributed Computing Systems, ICDCS",41.0
ICDIP,International Conference on Digital Image Processing,10.0
ICDM,IEEE International Conference on Data Mining,49.0
ICDT,International Conference on Database Theory,19.0
ICEBE,IEEE International Conference on e-Business Engineering,8.0
ICECS,"IEEE International Conference on Electronics, Circuits and Systems",17.0
ICEDEG,International Conference on eDemocracy & eGovernment,16.0
ICEIS,International Conference on Enterprise Information Systems (ICEIS),23.0
ICER,International Computing Education Research Conference (ICER),29.0
ICFNDS,International Conference on Future Networks and Distributed Systems,23.0
ICHI,IEEE International Conference on Healthcare Informatics,19.0
ICIAP,International Conference on Image Analysis and Processing (ICIAP),17.0
ICICS,International Conference on Information and Communications Security,14.0
ICIDS,International Conference on Interactive Digital Storytelling,16.0
ICINCO,"International Conference on Informatics in Control, Automation and Robotics",12.0
ICIP,IEEE International Conference on Image Processing (ICIP),55.0
ICIRA,International Conference on Intelligent Robotics and Applications,13.0
ICIS,International Conference on Information Systems (ICIS),35.0
ICIST,International Conference on Information and Software Technologies (ICIST),10.0
ICIT,IEEE International Conference on Industrial Technology,22.0
ICIVC,"International Conference on Image, Vision and Computing",16.0
ICLP,International Conference on Logic Programming,9.0
ICLR,International Conference on Learning Representations,362.0
ICMA,IEEE International Conference on Mechatronics and Automation,16.0
ICMEW,IEEE International Conference on Multimedia and Expo Workshops (ICMEW),24.0
ICMLA,"IEEE International Conference on Cybernetics, Cognition and Machine Learning Applications",12.0
ICMR,ACM International Conference on Multimedia Retrieval,33.0
ICNC-FSKD,"International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery",5.0
ICNP,IEEE International Conference on Network Protocols,26.0
ICNSC,"IEEE International Conference on Networking, Sensing and Control",15.0
ICONIP,International Conference on Neural Information Processing,27.0
ICORR,IEEE International Conference on Rehabilitation Robotics,10.0
ICPC,IEEE International Conference on Program Comprehension,32.0
ICPE,ACM/SPEC International Conference on Performance Engineering,25.0
ICPP,International Conference on Parallel Processing (ICPP),24.0
ICS,International Conference on Supercomputing (ICS),25.0
ICSC,IEEE International Conference on Semantic Computing,20.0
ICSESS,IEEE International Conference on Software Engineering and Service Science,14.0
ICSI,International Conference on Advances in Swarm Intelligence,13.0
ICSIP,IEEE International Conference on Signal and Image Processing Applications,9.0
ICSME,IEEE International Conference on Software Maintenance and Evolution,35.0
ICSOB,International Conference on Software Business (ICSOB),13.0
ICSOC,International Conference on Service Oriented Computing,21.0
ICSOFT,International Joint Conference on Software Technologies (ICSOFT),14.0
ICSPCEC,"International Conference on Signal Processing, Communication, Power and Embedded System",2.0
ICSTV,"IEEE International Conference on Software Testing, Verification and Validation (ICST)",34.0
ICT,IEEE International Conference on Telecommunications (ICT),15.0
ICTAC,International Colloquium on Theoretical Aspects of Computing,11.0
ICTAI,IEEE International Conference on Tools with Artificial Intelligence (ICTAI),26.0
ICTCS,Italian Conference on Theoretical Computer Science,8.0
ICTON,International Conference on Transparent Optical Networks,18.0
ICUAS,International Conference on Unmanned Aircraft Systems,29.0
ICUMT,International Conference on Ultra Modern Telecommunications (ICUMT),16.0
ICVR,International Conference on Virtual Rehabilitation (ICVR),12.0
ICVRV,International Conference on Virtual Reality and Visualization,7.0
ICVS,International Conference on Intelligent Systems and Computer Vision,18.0
ICWE,International Conference on Web Engineering (ICWE),15.0
ICWL,International Conference on Web-Based Learning (ICWL),10.0
ICWS,IEEE International Conference on Web Services,23.0
IDC,International Symposium on Intelligent and Distributed Computing,8.0
IECON,IEEE Annual Conference of the Industrial Electronics Society,27.0
IEEE NANO,IEEE International Conference on Nanotechnology (IEEE-NANO),12.0
IEEEISWC,IEEE International Symposium on Wearable Computers,18.0
IEEENANO,IEEE International Conference on Nanotechnology (IEEE-NANO),12.0
IEEESCC,IEEE International Conference on Services Computing,19.0
IFIPIoT,IFIP International Internet of Things Conference.,10.0
IGSC,"International Conference on Green Energy, Computing and Sustainable Technology",13.0
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,20.0
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais (IHC),5.0
IISWC,IEEE International Symposium on Workload Characterization,22.0
IIWAS,International Conference on Information Integration and Web-based Applications & Services (IIWAS),12.0
IJCAI,International Joint Conference on Artificial Intelligence (IJCAI),136.0
IJCCI,International Joint Conference on Computational Intelligence,13.0
IJCNLP,International Joint Conference on Natural Language Processing (IJCNLP),41.0
IM,IFIP/IEEE International Symposium on Integrated Network Management,19.0
IMC,ACM on Internet Measurement Conference,43.0
IMIS,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,11.0
INCOS,International Conference on Intelligent Networking and Collaborative Systems (INCoS),10.0
INDIN,IEEE International Conference on Industrial Informatics,20.0
INDOCRYPT,International Conference on Cryptology in India (INDOCRYPT),17.0
INFOCOM,IEEE International Conference on Computer Communications (INFOCOM),80.0
INSCIT,"International Symposium on Instrumentation Systems, Circuits and Transducers",4.0
INTELLISYS,SAI Intelligent Systems Conference,23.0
INTERSPEECH,Conference of the International Speech Communication Association (INTERSPEECH),112.0
IOLTS,IEEE International On-Line Testing Symposium,16.0
IOTSMS,"International Conference on Internet of Things: Systems, Management and Security",14.0
IPCCC,"IEEE International Performance, Computing, and Communications Conference, IPCCC",15.0
IPDPS,IEEE International Symposium on Parallel & Distributed Processing,41.0
